"","Date","Mesh200","Mesh500","total_biomass"
"71","2008-06-04",18.7,10.24,28.94
"72","2008-07-08",9.55,5.15,14.7
"73","2008-08-05",10.55,5.04,15.59
"74","2008-09-10",9.53,4.67,14.2
"75","2008-10-10",10.96,4.85,15.81
"76","2008-11-18",6.31,3.25,9.56
"77","2008-12-10",4.44,2.69,7.13
"78","2009-01-13",21.3,14.61,35.91
"79","2009-02-10",25.28,17.58,42.86
"80","2009-03-03",15.13,10.9,26.03
"81","2009-04-07",11.13,7.42,18.55
"82","2009-05-08",22.8,11.77,34.57
"83","2009-06-02",15.5,9.97,25.47
"84","2009-07-14",9.88,6.9,16.78
"85","2009-08-11",19.33,8.71,28.04
"86","2009-09-15",16.29,8.6,24.89
"87","2009-10-06",10.56,1.6,12.16
"88","2009-11-10",9.28,4.55,13.83
"89","2009-12-08",12.07,4.21,16.28
"90","2010-01-12",16.0325,10.2837,26.3162
"91","2010-02-11",11.0871,0,11.0871
"92","2010-03-09",12.0687,8.46851,20.53721
"93","2010-04-07",17.9506,8.47199,26.42259
"94","2010-05-11",8.16635,4.78063,12.94698
"95","2010-06-08",7.87697,6.60428,14.48125
"96","2010-08-04",8.33103,6.64482,14.97585
"97","2010-09-15",6.59381,3.86799,10.4618
"98","2010-10-04",5.93761,3.47984,9.41745
"99","2010-11-09",5.85374,2.81628,8.67002
"100","2010-12-08",5.17508,3.04007,8.21515
"101","2011-01-11",8.45386,3.18589,11.63975
"102","2011-02-08",25.8654,6.15125,32.01665
"103","2011-03-15",14.2324,8.56895,22.80135
"104","2011-04-12",15.3594,4.62812,19.98752
"105","2011-05-10",16.1425,3.52088,19.66338
"106","2011-06-09",9.7582,4.74325,14.50145
"107","2011-07-07",21.3049,8.92783,30.23273
"108","2011-08-09",18.5713,9.3085,27.8798
"109","2011-09-06",11.6233,7.05244,18.67574
"110","2011-10-04",10.3751,3.62096,13.99606
"111","2011-11-18",7.70624,2.30778,10.01402
"112","2012-01-10",27.3382,9.95754,37.29574
"113","2012-02-07",31.6605,10.8132,42.4737
"114","2012-03-16",17.8688,19.5674,37.4362
"115","2012-04-10",33.4458,29.3839,62.8297
"116","2012-07-26",6.44045,4.50886,10.94931
"117","2012-08-14",8.03149,4.20931,12.2408
"118","2012-10-10",9.28094,4.62876,13.9097
"119","2012-11-08",7.29998,4.04491,11.34489
"120","2012-12-04",9.55348,3.45539,13.00887
"121","2013-03-05",NA,13.1387,NA
"122","2013-04-09",17.8453,10.0606,27.9059
"123","2013-05-09",18.0719,11.5927,29.6646
"124","2013-06-11",16.9265,5.83297,22.75947
"125","2013-08-13",7.25959,4.39957,11.65916
"126","2013-09-11",9.59854,6.57934,16.17788
"127","2013-10-08",4.96539,2.16092,7.12631
"128","2013-11-13",9.80581,4.42204,14.22785
"129","2013-12-04",4.383,2.31523,6.69823
"130","2014-01-14",15.6501,4.60962,20.25972
"131","2014-02-04",4.95634,2.61748,7.57382
"132","2014-04-01",9.39105,7.46291,16.85396
"133","2014-05-06",13.814,7.57935,21.39335
"134","2014-06-13",27.4901,20.4162,47.9063
"135","2014-09-03",16.7423,20.8366,37.5789
"136","2014-10-07",7.24603,3.43736,10.68339
"137","2014-11-12",5.0585,2.99493,8.05343
"138","2014-12-04",11.6572,4.49081,16.14801
"139","2015-03-10",16.4303,8.19616,24.62646
"140","2015-04-24",6.08326,6.69779,12.78105
"141","2015-07-29",9.81122,8.11083,17.92205
"142","2015-08-18",16.3108,12.71,29.0208
"143","2015-09-10",12.0631,6.46545,18.52855
"144","2015-11-16",6.36858,4.62132,10.9899
"145","2015-12-09",5.72852,3.18838,8.9169
"146","2016-01-12",7.17667,3.85871,11.03538
"147","2016-02-04",13.6176,5.16294,18.78054
"148","2016-05-11",4.73493,3.74631,8.48124
"149","2016-06-07",3.00928,1.03985,4.04913
"150","2016-09-20",9.22972,7.91148,17.1412
"151","2016-12-21",4.07,1.26594,5.33594
"152","2017-01-12",3.1074,0.966536,4.073936
