"","date","Mesh_Size","key","value"
"66",2004-09-07,200,"TOTAL_DENSITY",1083.37
"67",2004-10-05,200,"TOTAL_DENSITY",198.552
"68",2004-10-05,500,"TOTAL_DENSITY",27
"69",2004-11-09,500,"TOTAL_DENSITY",17
"70",2004-11-09,200,"TOTAL_DENSITY",190.683
"71",2004-12-07,500,"TOTAL_DENSITY",25
"72",2004-12-07,200,"TOTAL_DENSITY",325.825
"73",2005-01-11,200,"TOTAL_DENSITY",167.93
"74",2005-01-11,500,"TOTAL_DENSITY",31.18
"75",2005-02-10,200,"TOTAL_DENSITY",97.622
"76",2005-02-10,500,"TOTAL_DENSITY",42.36
"77",2005-03-08,200,"TOTAL_DENSITY",374.617
"78",2005-03-08,500,"TOTAL_DENSITY",50.8
"79",2005-04-05,200,"TOTAL_DENSITY",270.599
"80",2005-04-05,500,"TOTAL_DENSITY",66.18
"81",2005-05-10,200,"TOTAL_DENSITY",220.22
"82",2005-05-10,500,"TOTAL_DENSITY",65.16
"83",2005-06-14,200,"TOTAL_DENSITY",563.809
"84",2005-06-14,500,"TOTAL_DENSITY",61.7
"85",2005-07-12,200,"TOTAL_DENSITY",290.976
"86",2005-07-12,500,"TOTAL_DENSITY",50.18
"87",2005-08-10,500,"TOTAL_DENSITY",71.7
"88",2005-08-10,200,"TOTAL_DENSITY",505.31
"89",2005-12-15,500,"TOTAL_DENSITY",62.34
"90",2005-12-15,200,"TOTAL_DENSITY",489.355
"91",2006-01-12,500,"TOTAL_DENSITY",66.37
"92",2006-01-12,200,"TOTAL_DENSITY",496.938
"93",2006-02-07,200,"TOTAL_DENSITY",383.514
"94",2006-02-07,500,"TOTAL_DENSITY",55.05
"95",2006-03-16,200,"TOTAL_DENSITY",549.235
"96",2006-03-16,500,"TOTAL_DENSITY",75.25
"97",2006-04-04,200,"TOTAL_DENSITY",609.863
"98",2006-04-04,500,"TOTAL_DENSITY",91.4
"99",2006-05-10,200,"TOTAL_DENSITY",217.43
"100",2006-05-10,500,"TOTAL_DENSITY",28.15
"101",2006-06-06,200,"TOTAL_DENSITY",215.814
"102",2006-06-06,500,"TOTAL_DENSITY",28
"103",2006-07-04,200,"TOTAL_DENSITY",169.654
"104",2006-07-04,500,"TOTAL_DENSITY",20
"105",2006-08-03,500,"TOTAL_DENSITY",60
"106",2006-08-03,200,"TOTAL_DENSITY",441.601
"107",2006-09-12,500,"TOTAL_DENSITY",37
"108",2006-09-12,200,"TOTAL_DENSITY",304.514
"109",2006-10-10,500,"TOTAL_DENSITY",217.413
"110",2006-10-10,200,"TOTAL_DENSITY",2476.51
"111",2006-11-02,200,"TOTAL_DENSITY",542.669
"112",2006-11-02,500,"TOTAL_DENSITY",80.6665
"113",2006-12-05,200,"TOTAL_DENSITY",861.718
"114",2006-12-05,500,"TOTAL_DENSITY",79.8908
"115",2007-02-06,200,"TOTAL_DENSITY",1334.42
"116",2007-02-06,500,"TOTAL_DENSITY",96.6039
"117",2007-03-06,200,"TOTAL_DENSITY",269.512
"118",2007-03-06,500,"TOTAL_DENSITY",175.135
"119",2007-05-08,200,"TOTAL_DENSITY",630.935
"120",2007-05-08,500,"TOTAL_DENSITY",145.359
"121",2007-06-05,200,"TOTAL_DENSITY",898.777
"122",2007-06-05,500,"TOTAL_DENSITY",66.4115
"123",2007-07-03,200,"TOTAL_DENSITY",1360.84
"124",2007-07-03,500,"TOTAL_DENSITY",185.663
"125",2007-08-07,500,"TOTAL_DENSITY",194.429
"126",2007-08-07,200,"TOTAL_DENSITY",1120.9
"127",2007-10-09,200,"TOTAL_DENSITY",601.812
"128",2007-10-09,500,"TOTAL_DENSITY",22.2054
"129",2007-12-11,500,"TOTAL_DENSITY",40.7586
"130",2007-12-11,200,"TOTAL_DENSITY",328.304
"131",2008-01-10,200,"TOTAL_DENSITY",809.497
"132",2008-01-10,500,"TOTAL_DENSITY",118.485
"133",2008-02-12,500,"TOTAL_DENSITY",179.825
"134",2008-02-12,200,"TOTAL_DENSITY",996.112
"135",2008-03-11,500,"TOTAL_DENSITY",266.133
"136",2008-03-11,200,"TOTAL_DENSITY",809.126
"137",2008-04-08,200,"TOTAL_DENSITY",2026.69
"138",2008-04-08,500,"TOTAL_DENSITY",350.581
"139",2008-05-06,200,"TOTAL_DENSITY",204.228
"140",2008-05-06,500,"TOTAL_DENSITY",96.9909
"141",2008-06-04,200,"TOTAL_DENSITY",190.564
"142",2008-06-04,500,"TOTAL_DENSITY",145.613
"143",2008-07-08,200,"TOTAL_DENSITY",985.111
"144",2008-07-08,500,"TOTAL_DENSITY",85.9064
"145",2008-08-05,500,"TOTAL_DENSITY",102.502
"146",2008-08-05,200,"TOTAL_DENSITY",962.317
"147",2008-09-10,500,"TOTAL_DENSITY",86.3213
"148",2008-09-10,200,"TOTAL_DENSITY",433.309
"149",2008-10-10,500,"TOTAL_DENSITY",83.0647
"150",2008-10-10,200,"TOTAL_DENSITY",679.616
"151",2008-11-18,500,"TOTAL_DENSITY",38.2865
"152",2008-11-18,200,"TOTAL_DENSITY",337.803
"153",2008-12-10,500,"TOTAL_DENSITY",12.3864
"154",2008-12-10,200,"TOTAL_DENSITY",280.507
"155",2009-01-13,500,"TOTAL_DENSITY",132.311
"156",2009-01-13,200,"TOTAL_DENSITY",973.358
"157",2009-02-10,500,"TOTAL_DENSITY",60.5544
"158",2009-02-10,200,"TOTAL_DENSITY",661.295
"159",2009-03-03,500,"TOTAL_DENSITY",177.545
"160",2009-03-03,200,"TOTAL_DENSITY",877.748
"161",2009-04-07,500,"TOTAL_DENSITY",208.496
"162",2009-04-07,200,"TOTAL_DENSITY",1631.48
"163",2009-05-08,500,"TOTAL_DENSITY",9.96920996838687e+36
"164",2009-05-08,200,"TOTAL_DENSITY",939.973
"165",2009-06-02,500,"TOTAL_DENSITY",150.898
"166",2009-06-02,200,"TOTAL_DENSITY",1155.58
"167",2009-07-14,200,"TOTAL_DENSITY",445.741
"168",2009-07-14,500,"TOTAL_DENSITY",182.943
"169",2009-08-11,200,"TOTAL_DENSITY",1317.4
"170",2009-08-11,500,"TOTAL_DENSITY",154.603
"171",2009-09-15,200,"TOTAL_DENSITY",1479.01
"172",2009-09-15,500,"TOTAL_DENSITY",166.86
"173",2009-10-06,500,"TOTAL_DENSITY",44.2111
"174",2009-10-06,200,"TOTAL_DENSITY",110.245
"175",2009-11-10,200,"TOTAL_DENSITY",651.659
"176",2009-11-10,500,"TOTAL_DENSITY",132.333
"177",2009-12-08,200,"TOTAL_DENSITY",1331.35
"178",2009-12-08,500,"TOTAL_DENSITY",68.3476
"179",2010-01-12,500,"TOTAL_DENSITY",122.133
"180",2010-01-12,200,"TOTAL_DENSITY",1577.1
"181",2010-02-11,500,"TOTAL_DENSITY",181.464
"182",2010-02-11,200,"TOTAL_DENSITY",840.9
"183",2010-03-09,200,"TOTAL_DENSITY",1437.26
"184",2010-03-09,500,"TOTAL_DENSITY",74.6809
"185",2010-04-07,200,"TOTAL_DENSITY",2214.81
"186",2010-04-07,500,"TOTAL_DENSITY",169.809
"187",2010-05-11,200,"TOTAL_DENSITY",848.74
"188",2010-05-11,500,"TOTAL_DENSITY",89.098
"189",2010-06-08,500,"TOTAL_DENSITY",64.4745
"190",2010-06-08,200,"TOTAL_DENSITY",296.27
"191",2010-08-04,500,"TOTAL_DENSITY",51.3165
"192",2010-08-04,200,"TOTAL_DENSITY",728.99
"193",2010-09-15,200,"TOTAL_DENSITY",1038.48
"194",2010-09-15,500,"TOTAL_DENSITY",56.9747
"195",2010-10-04,500,"TOTAL_DENSITY",36.0656
"196",2010-10-04,200,"TOTAL_DENSITY",816.79
"197",2010-11-09,200,"TOTAL_DENSITY",1063.3
"198",2010-11-09,500,"TOTAL_DENSITY",33.4794
"199",2010-12-08,200,"TOTAL_DENSITY",460.57
"200",2010-12-08,500,"TOTAL_DENSITY",31.3051
"201",2011-01-11,200,"TOTAL_DENSITY",668.22
"202",2011-01-11,500,"TOTAL_DENSITY",42.2232
"203",2011-02-08,200,"TOTAL_DENSITY",2498.83
"204",2011-02-08,500,"TOTAL_DENSITY",139.949
"205",2011-03-15,500,"TOTAL_DENSITY",193.195
"206",2011-03-15,200,"TOTAL_DENSITY",1480.54
"207",2011-04-12,500,"TOTAL_DENSITY",238.669
"208",2011-04-12,200,"TOTAL_DENSITY",1604.93
"209",2011-05-10,200,"TOTAL_DENSITY",447.907
"210",2011-05-10,500,"TOTAL_DENSITY",59.63
"211",2011-06-09,500,"TOTAL_DENSITY",80.64
"212",2011-06-09,200,"TOTAL_DENSITY",509.667
"213",2011-07-07,200,"TOTAL_DENSITY",1478.38
"214",2011-07-07,500,"TOTAL_DENSITY",171.982
"215",2011-08-09,200,"TOTAL_DENSITY",1150.77
"216",2011-08-09,500,"TOTAL_DENSITY",192.509
"217",2011-09-06,200,"TOTAL_DENSITY",731.74
"218",2011-09-06,500,"TOTAL_DENSITY",76.35
"219",2011-10-04,500,"TOTAL_DENSITY",40.7604
"220",2011-10-04,200,"TOTAL_DENSITY",797.82
"221",2011-11-18,500,"TOTAL_DENSITY",40.4245
"222",2011-11-18,200,"TOTAL_DENSITY",304.75
"223",2012-01-10,500,"TOTAL_DENSITY",109.967
"224",2012-01-10,200,"TOTAL_DENSITY",1050.96
"225",2012-02-07,200,"TOTAL_DENSITY",712.089
"226",2012-02-07,500,"TOTAL_DENSITY",77.309
"227",2012-03-16,200,"TOTAL_DENSITY",318.421
"228",2012-03-16,500,"TOTAL_DENSITY",249.381
"229",2012-04-10,500,"TOTAL_DENSITY",279.839
"230",2012-04-10,200,"TOTAL_DENSITY",1869.12
"231",2012-07-26,200,"TOTAL_DENSITY",659.055
"232",2012-07-26,500,"TOTAL_DENSITY",104.242
"233",2012-08-14,200,"TOTAL_DENSITY",558.551
"234",2012-08-14,500,"TOTAL_DENSITY",77.4019
"235",2012-10-10,200,"TOTAL_DENSITY",866.938
"236",2012-10-10,500,"TOTAL_DENSITY",93.7287
"237",2012-11-08,500,"TOTAL_DENSITY",68.9545
"238",2012-11-08,200,"TOTAL_DENSITY",913.855
"239",2012-12-04,200,"TOTAL_DENSITY",462.204
"240",2012-12-04,500,"TOTAL_DENSITY",82.3914
"241",2013-03-05,500,"TOTAL_DENSITY",144.207
"242",2013-03-05,200,"TOTAL_DENSITY",659.505
"243",2013-04-09,500,"TOTAL_DENSITY",107.958
"244",2013-04-09,200,"TOTAL_DENSITY",826.479
"245",2013-05-09,500,"TOTAL_DENSITY",113.882
"246",2013-05-09,200,"TOTAL_DENSITY",827.193
"247",2013-06-11,200,"TOTAL_DENSITY",1474.62
"248",2013-06-11,500,"TOTAL_DENSITY",187.371
"249",2013-07-11,200,"TOTAL_DENSITY",1251.37
"250",2013-07-11,500,"TOTAL_DENSITY",67.6464
"251",2013-08-13,200,"TOTAL_DENSITY",272.567
"252",2013-08-13,500,"TOTAL_DENSITY",188.57
"253",2013-09-11,500,"TOTAL_DENSITY",126.48
"254",2013-09-11,200,"TOTAL_DENSITY",448.543
"255",2013-10-08,200,"TOTAL_DENSITY",67.5133
"256",2013-10-08,500,"TOTAL_DENSITY",31.45
"257",2013-11-13,500,"TOTAL_DENSITY",189.84
"258",2013-11-13,200,"TOTAL_DENSITY",405.932
"259",2013-12-04,200,"TOTAL_DENSITY",264.894
"260",2013-12-04,500,"TOTAL_DENSITY",27.6889
"261",2014-01-14,500,"TOTAL_DENSITY",268.132
"262",2014-01-14,200,"TOTAL_DENSITY",326.671
"263",2014-02-04,200,"TOTAL_DENSITY",729.6
"264",2014-02-04,500,"TOTAL_DENSITY",185.07
"265",2014-04-01,500,"TOTAL_DENSITY",66.73
"266",2014-04-01,200,"TOTAL_DENSITY",322.5
"267",2014-05-06,500,"TOTAL_DENSITY",246.408
"268",2014-05-06,200,"TOTAL_DENSITY",625.463
"269",2014-06-13,500,"TOTAL_DENSITY",135.81
"270",2014-06-13,200,"TOTAL_DENSITY",609.096
"271",2014-09-03,200,"TOTAL_DENSITY",824.651
"272",2014-09-03,500,"TOTAL_DENSITY",214.989
"273",2014-10-07,500,"TOTAL_DENSITY",21.9416
"274",2014-10-07,200,"TOTAL_DENSITY",188.842
"275",2014-11-12,500,"TOTAL_DENSITY",212.61
"276",2014-11-12,200,"TOTAL_DENSITY",169.205
"277",2014-12-04,500,"TOTAL_DENSITY",67.0469
"278",2014-12-04,200,"TOTAL_DENSITY",511.371
"279",2015-03-10,200,"TOTAL_DENSITY",633.506
"280",2015-03-10,500,"TOTAL_DENSITY",33.8663
"281",2015-04-24,500,"TOTAL_DENSITY",72.6081
"282",2015-04-24,200,"TOTAL_DENSITY",58.7954
"283",2015-07-29,500,"TOTAL_DENSITY",195.067
"284",2015-07-29,200,"TOTAL_DENSITY",486.782
"285",2015-08-18,500,"TOTAL_DENSITY",250.981
"286",2015-08-18,200,"TOTAL_DENSITY",713.048
"287",2015-09-10,500,"TOTAL_DENSITY",168.84
"288",2015-09-10,200,"TOTAL_DENSITY",779.032
"289",2015-11-16,500,"TOTAL_DENSITY",98.7249
"290",2015-11-16,200,"TOTAL_DENSITY",1559.74
"291",2015-12-09,500,"TOTAL_DENSITY",115.672
"292",2015-12-09,200,"TOTAL_DENSITY",263.319
"293",2016-01-12,500,"TOTAL_DENSITY",119.603
"294",2016-01-12,200,"TOTAL_DENSITY",479.87
"295",2016-02-04,200,"TOTAL_DENSITY",373.072
"296",2016-02-04,500,"TOTAL_DENSITY",88.7606
"297",2016-05-11,500,"TOTAL_DENSITY",115.133
"298",2016-05-11,200,"TOTAL_DENSITY",304.724
"299",2016-06-07,500,"TOTAL_DENSITY",40.6461
"300",2016-06-07,200,"TOTAL_DENSITY",425.404
"301",2016-09-20,500,"TOTAL_DENSITY",132.165
"302",2016-09-20,200,"TOTAL_DENSITY",412.39
"303",2016-12-21,500,"TOTAL_DENSITY",25.89
"304",2016-12-21,200,"TOTAL_DENSITY",215.96
"305",2017-01-12,200,"TOTAL_DENSITY",759.27
"306",2017-01-12,500,"TOTAL_DENSITY",131.656
"307",2001-10-09,200,"BIOMASS",26.8331
"308",2001-10-09,500,"BIOMASS",15.9475
"309",2001-11-06,500,"BIOMASS",2.33661
"310",2001-11-06,200,"BIOMASS",7.42849
"311",2001-12-11,200,"BIOMASS",5.59624
"312",2001-12-11,500,"BIOMASS",0.714084
"313",2002-01-10,200,"BIOMASS",10.24
"314",2002-01-10,500,"BIOMASS",4.93
"315",2002-02-14,200,"BIOMASS",12.92
"316",2002-02-14,500,"BIOMASS",9.96920996838687e+36
"317",2002-03-12,500,"BIOMASS",5.47
"318",2002-03-12,200,"BIOMASS",10.55
"319",2002-04-02,500,"BIOMASS",8.31
"320",2002-04-02,200,"BIOMASS",8.71
"321",2002-05-07,500,"BIOMASS",1.31
"322",2002-05-07,200,"BIOMASS",4.5
"323",2002-06-12,200,"BIOMASS",10.63
"324",2002-06-12,500,"BIOMASS",4.54
"325",2002-07-09,200,"BIOMASS",1.4
"326",2002-07-09,500,"BIOMASS",0.88
"327",2002-08-06,200,"BIOMASS",1.79
"328",2002-08-06,500,"BIOMASS",1.28
"329",2002-10-03,500,"BIOMASS",1.5
"330",2002-10-03,200,"BIOMASS",12.35
"331",2002-11-07,200,"BIOMASS",4.76
"332",2002-11-07,500,"BIOMASS",3.33
"333",2002-12-05,500,"BIOMASS",1.9
"334",2002-12-05,200,"BIOMASS",5.52
"335",2003-01-14,200,"BIOMASS",11.99
"336",2003-01-14,500,"BIOMASS",4.74
"337",2003-02-11,200,"BIOMASS",11.8
"338",2003-02-11,500,"BIOMASS",8.74
"339",2003-03-11,500,"BIOMASS",11.38
"340",2003-03-11,200,"BIOMASS",21.85
"341",2003-04-08,200,"BIOMASS",11.97
"342",2003-04-08,500,"BIOMASS",8.42
"343",2003-05-13,200,"BIOMASS",11.26
"344",2003-05-13,500,"BIOMASS",6.03
"345",2003-06-10,500,"BIOMASS",8.8
"346",2003-06-10,200,"BIOMASS",13.57
"347",2003-07-08,200,"BIOMASS",7.5
"348",2003-07-08,500,"BIOMASS",5.25
"349",2003-09-09,500,"BIOMASS",4.82
"350",2003-09-09,200,"BIOMASS",8.57
"351",2003-11-11,500,"BIOMASS",3.07
"352",2003-11-11,200,"BIOMASS",4.33
"353",2003-12-09,200,"BIOMASS",9.08
"354",2003-12-09,500,"BIOMASS",3.91
"355",2004-01-13,500,"BIOMASS",2.83
"356",2004-01-13,200,"BIOMASS",10.66
"357",2004-02-08,200,"BIOMASS",5.6
"358",2004-02-08,500,"BIOMASS",3.31
"359",2004-03-08,500,"BIOMASS",4.76
"360",2004-03-08,200,"BIOMASS",6.17
"361",2004-04-06,500,"BIOMASS",10.59
"362",2004-04-06,200,"BIOMASS",18.31
"363",2004-05-13,200,"BIOMASS",11.47
"364",2004-05-13,500,"BIOMASS",5.11
"365",2004-06-08,200,"BIOMASS",14.01
"366",2004-06-08,500,"BIOMASS",10.72
"367",2004-07-07,500,"BIOMASS",7.91
"368",2004-07-07,200,"BIOMASS",18.15
"369",2004-08-10,500,"BIOMASS",8.86
"370",2004-08-10,200,"BIOMASS",15.8
"371",2004-09-07,500,"BIOMASS",3.24
"372",2004-09-07,200,"BIOMASS",11.44
"373",2004-10-05,200,"BIOMASS",5.4
"374",2004-10-05,500,"BIOMASS",2.81
"375",2004-11-09,500,"BIOMASS",2.99
"376",2004-11-09,200,"BIOMASS",3.41
"377",2004-12-07,500,"BIOMASS",1.95
"378",2004-12-07,200,"BIOMASS",5.8
"379",2005-01-11,200,"BIOMASS",5.99
"380",2005-01-11,500,"BIOMASS",2.96
"381",2005-02-10,200,"BIOMASS",9.76
"382",2005-02-10,500,"BIOMASS",7.09
"383",2005-03-08,200,"BIOMASS",13.71
"384",2005-03-08,500,"BIOMASS",5.97
"385",2005-04-05,200,"BIOMASS",10.88
"386",2005-04-05,500,"BIOMASS",7.48
"387",2005-05-10,200,"BIOMASS",9.89
"388",2005-05-10,500,"BIOMASS",6.4
"389",2005-06-14,200,"BIOMASS",6.15
"390",2005-06-14,500,"BIOMASS",6.04
"391",2005-07-12,200,"BIOMASS",8.19
"392",2005-07-12,500,"BIOMASS",3.07
"393",2005-08-10,500,"BIOMASS",2.03
"394",2005-08-10,200,"BIOMASS",5.62
"395",2005-12-15,500,"BIOMASS",4.46
"396",2005-12-15,200,"BIOMASS",10.68
"397",2006-01-12,500,"BIOMASS",7.5
"398",2006-01-12,200,"BIOMASS",17.54
"399",2006-02-07,200,"BIOMASS",19.3
"400",2006-02-07,500,"BIOMASS",10.45
"401",2006-03-16,200,"BIOMASS",12.22
"402",2006-03-16,500,"BIOMASS",12.62
"403",2006-04-04,200,"BIOMASS",17.66
"404",2006-04-04,500,"BIOMASS",7.23
"405",2006-05-10,200,"BIOMASS",14
"406",2006-05-10,500,"BIOMASS",7.97
"407",2006-06-06,200,"BIOMASS",10
"408",2006-06-06,500,"BIOMASS",2.53
"409",2006-07-04,200,"BIOMASS",4
"410",2006-07-04,500,"BIOMASS",1.3
"411",2006-08-03,500,"BIOMASS",8.4
"412",2006-08-03,200,"BIOMASS",15.7
"413",2006-09-12,500,"BIOMASS",10.5
"414",2006-09-12,200,"BIOMASS",12.67
"415",2006-10-10,500,"BIOMASS",9.96
"416",2006-10-10,200,"BIOMASS",8.04
"417",2006-11-02,200,"BIOMASS",6.32
"418",2006-11-02,500,"BIOMASS",3.25
"419",2006-12-05,200,"BIOMASS",7.33
"420",2006-12-05,500,"BIOMASS",3.39
"421",2007-02-06,200,"BIOMASS",18.17
"422",2007-02-06,500,"BIOMASS",9
"423",2007-03-06,200,"BIOMASS",8.34
"424",2007-03-06,500,"BIOMASS",9.65
"425",2007-05-08,200,"BIOMASS",14.55
"426",2007-05-08,500,"BIOMASS",9.11
"427",2007-06-05,200,"BIOMASS",9.56
"428",2007-06-05,500,"BIOMASS",5.81
"429",2007-07-03,200,"BIOMASS",16.78
"430",2007-07-03,500,"BIOMASS",9.94
"431",2007-08-07,500,"BIOMASS",10.19
"432",2007-08-07,200,"BIOMASS",16.24
"433",2007-10-09,200,"BIOMASS",4.89
"434",2007-10-09,500,"BIOMASS",1.66
"435",2007-12-11,500,"BIOMASS",3.66
"436",2007-12-11,200,"BIOMASS",7.18
"437",2008-01-10,200,"BIOMASS",19.21
"438",2008-01-10,500,"BIOMASS",11.06
"439",2008-02-12,500,"BIOMASS",10.99
"440",2008-02-12,200,"BIOMASS",19.36
"441",2008-03-11,500,"BIOMASS",10.23
"442",2008-03-11,200,"BIOMASS",22.3
"443",2008-04-08,200,"BIOMASS",32.63
"444",2008-04-08,500,"BIOMASS",16.81
"445",2008-05-06,200,"BIOMASS",14.66
"446",2008-05-06,500,"BIOMASS",7.84
"447",2008-06-04,200,"BIOMASS",18.7
"448",2008-06-04,500,"BIOMASS",10.24
"449",2008-07-08,200,"BIOMASS",9.55
"450",2008-07-08,500,"BIOMASS",5.15
"451",2008-08-05,500,"BIOMASS",5.04
"452",2008-08-05,200,"BIOMASS",10.55
"453",2008-09-10,500,"BIOMASS",4.67
"454",2008-09-10,200,"BIOMASS",9.53
"455",2008-10-10,500,"BIOMASS",4.85
"456",2008-10-10,200,"BIOMASS",10.96
"457",2008-11-18,500,"BIOMASS",3.25
"458",2008-11-18,200,"BIOMASS",6.31
"459",2008-12-10,500,"BIOMASS",2.69
"460",2008-12-10,200,"BIOMASS",4.44
"461",2009-01-13,500,"BIOMASS",14.61
"462",2009-01-13,200,"BIOMASS",21.3
"463",2009-02-10,500,"BIOMASS",17.58
"464",2009-02-10,200,"BIOMASS",25.28
"465",2009-03-03,500,"BIOMASS",10.9
"466",2009-03-03,200,"BIOMASS",15.13
"467",2009-04-07,500,"BIOMASS",7.42
"468",2009-04-07,200,"BIOMASS",11.13
"469",2009-05-08,500,"BIOMASS",11.77
"470",2009-05-08,200,"BIOMASS",22.8
"471",2009-06-02,500,"BIOMASS",9.97
"472",2009-06-02,200,"BIOMASS",15.5
"473",2009-07-14,200,"BIOMASS",9.88
"474",2009-07-14,500,"BIOMASS",6.9
"475",2009-08-11,200,"BIOMASS",19.33
"476",2009-08-11,500,"BIOMASS",8.71
"477",2009-09-15,200,"BIOMASS",16.29
"478",2009-09-15,500,"BIOMASS",8.6
"479",2009-10-06,500,"BIOMASS",1.6
"480",2009-10-06,200,"BIOMASS",10.56
"481",2009-11-10,200,"BIOMASS",9.28
"482",2009-11-10,500,"BIOMASS",4.55
"483",2009-12-08,200,"BIOMASS",12.07
"484",2009-12-08,500,"BIOMASS",4.21
"485",2010-01-12,500,"BIOMASS",10.2837
"486",2010-01-12,200,"BIOMASS",16.0325
"487",2010-02-11,500,"BIOMASS",0
"488",2010-02-11,200,"BIOMASS",11.0871
"489",2010-03-09,200,"BIOMASS",12.0687
"490",2010-03-09,500,"BIOMASS",8.46851
"491",2010-04-07,200,"BIOMASS",17.9506
"492",2010-04-07,500,"BIOMASS",8.47199
"493",2010-05-11,200,"BIOMASS",8.16635
"494",2010-05-11,500,"BIOMASS",4.78063
"495",2010-06-08,500,"BIOMASS",6.60428
"496",2010-06-08,200,"BIOMASS",7.87697
"497",2010-08-04,500,"BIOMASS",6.64482
"498",2010-08-04,200,"BIOMASS",8.33103
"499",2010-09-15,200,"BIOMASS",6.59381
"500",2010-09-15,500,"BIOMASS",3.86799
"501",2010-10-04,500,"BIOMASS",3.47984
"502",2010-10-04,200,"BIOMASS",5.93761
"503",2010-11-09,200,"BIOMASS",5.85374
"504",2010-11-09,500,"BIOMASS",2.81628
"505",2010-12-08,200,"BIOMASS",5.17508
"506",2010-12-08,500,"BIOMASS",3.04007
"507",2011-01-11,200,"BIOMASS",8.45386
"508",2011-01-11,500,"BIOMASS",3.18589
"509",2011-02-08,200,"BIOMASS",25.8654
"510",2011-02-08,500,"BIOMASS",6.15125
"511",2011-03-15,500,"BIOMASS",8.56895
"512",2011-03-15,200,"BIOMASS",14.2324
"513",2011-04-12,500,"BIOMASS",4.62812
