Time 1,Depth 1,Chla 1,Time 2,Depth 2,Chla 2
07/11/96,25,392,03/06/07,1,1021.7
07/11/96,35,530,03/06/07,7,1082.5
07/11/96,55,170,03/06/07,7,1087.5
07/11/96,75,179,03/06/07,15,980.1
07/11/96,100,79,03/06/07,25,439
08/07/96,1,148,03/06/07,35,317.5
08/07/96,7,129,03/06/07,55,93.8
08/07/96,15,153,03/06/07,75,30.7
08/07/96,15,140,03/06/07,100,11
08/07/96,25,464,04/10/07,1,556
08/07/96,35,335,04/10/07,7,508.6
08/07/96,55,204,04/10/07,15,520.5
08/07/96,75,172,04/10/07,25,531.2
09/11/96,1,208,04/10/07,35,466.2
09/11/96,7,186,04/10/07,55,444.3
09/11/96,15,202,04/10/07,75,43.7
09/11/96,25,259,04/10/07,100,10
09/11/96,35,310,05/08/07,1,222.5
09/11/96,55,742,05/08/07,7,243.8
09/11/96,75,182,05/08/07,15,245.9
09/11/96,100,185,05/08/07,25,422.2
10/09/96,1,257,05/08/07,35,880
10/09/96,7,187,05/08/07,55,272.1
10/09/96,15,220,05/08/07,75,120.4
10/09/96,25,309,05/08/07,100,62.4
10/09/96,35,1018,06/05/07,1,112
10/09/96,55,348,06/05/07,7,115.3
10/09/96,75,75,06/05/07,15,107.9
10/09/96,100,31,06/05/07,25,164.4
11/11/96,1,235,06/05/07,35,335.6
11/11/96,7,461,06/05/07,55,269.4
11/11/96,15,265,06/05/07,75,196.7
11/11/96,25,2537,06/05/07,100,122.6
11/11/96,35,248,07/03/07,1,234.6
11/11/96,55,163,07/03/07,7,290
11/11/96,75,78,07/03/07,15,1690.8
11/11/96,100,36,07/03/07,25,400.9
12/10/96,1,171,07/03/07,35,195.1
12/10/96,7,166,07/03/07,55,191.7
12/10/96,15,188,07/03/07,75,61.2
12/10/96,25,477,07/03/07,100,31.4
12/10/96,35,460,08/07/07,1,174.4
12/10/96,55,67,08/07/07,7,177.6
12/10/96,75,114,08/07/07,15,178.9
12/10/96,100,29,08/07/07,25,191.6
01/08/97,1,3484,08/07/07,35,264.3
01/08/97,7,3892,08/07/07,45,619.1
01/08/97,15,3633,08/07/07,55,576.1
01/08/97,25,2599,08/07/07,75,36.2
01/08/97,35,182,08/07/07,100,495.1
01/08/97,55,104,09/04/07,1,138.9
01/08/97,75,38,09/04/07,1,142.9
01/08/97,100,23,09/04/07,7,142.5
02/14/97,1,900,09/04/07,15,165.3
02/14/97,7,812,09/04/07,25,274.3
02/14/97,15,788,09/04/07,35,366.6
02/14/97,25,549,09/04/07,40,1023.1
02/14/97,35,144,09/04/07,55,300.1
02/14/97,55,61,09/04/07,75,214.9
02/14/97,75,47,09/04/07,100,37.5
02/14/97,100,29,10/19/07,1,133
02/23/97,1,1383,10/19/07,1,127
02/23/97,7,1366,10/19/07,7,127
02/23/97,15,1312,10/19/07,15,167
02/23/97,25,464,10/19/07,25,191
02/23/97,55,171,10/19/07,35,674
02/23/97,75,47,10/19/07,45,592
02/23/97,100,32,10/19/07,55,566
03/13/97,1,2070,10/19/07,75,664
03/13/97,7,1443,10/19/07,100,58
03/13/97,15,2144,12/11/07,1,131
03/13/97,25,879,12/11/07,7,138
03/13/97,35,188,12/11/07,15,147
03/13/97,55,101,12/11/07,25,260
03/13/97,75,84,12/11/07,35,430
03/13/97,100,37,12/11/07,55,830
04/16/97,1,1903,12/11/07,75,166
04/16/97,7,1872,12/11/07,100,29
04/16/97,15,2170,01/10/08,1,204
04/16/97,25,1350,01/10/08,7,218
04/16/97,35,352,01/10/08,15,307
04/16/97,55,117,01/10/08,20,609
04/16/97,75,117,01/10/08,25,476
04/16/97,100,40,01/10/08,35,607
05/10/97,1,1212,01/10/08,55,162
05/10/97,7,1095,01/10/08,75,60
05/10/97,15,556,01/10/08,100,23
05/10/97,25,365,02/12/08,1,1064
05/10/97,35,233,02/12/08,7,1070
05/10/97,55,99,02/12/08,15,1073
05/10/97,75,56,02/12/08,20,958
05/10/97,100,47,02/12/08,25,954
06/17/97,1,233,02/12/08,35,404
06/17/97,7,265,02/12/08,55,89
06/17/97,15,279,02/12/08,55,88
06/17/97,25,254,02/12/08,75,80
06/17/97,35,376,02/12/08,100,23
06/17/97,55,198,03/11/08,1,1186
06/17/97,75,126,03/11/08,7,1298
06/17/97,100,122,03/11/08,15,1266
07/08/97,1,263,03/11/08,25,1738
07/08/97,7,317,03/11/08,35,305
07/08/97,15,445,03/11/08,55,322
07/08/97,25,174,03/11/08,75,91
07/08/97,35,103,03/11/08,100,47
07/08/97,55,82,04/08/08,1,459
07/08/97,75,21,04/08/08,7,422
07/08/97,100,13,04/08/08,15,470
07/16/97,1,427,04/08/08,25,544
07/16/97,7,1855,04/08/08,30,809
07/16/97,15,654,04/08/08,35,528
07/16/97,25,212,04/08/08,55,211
07/16/97,35,148,04/08/08,75,119
07/16/97,55,51,04/08/08,100,49
07/16/97,75,133,05/04/08,1,201
07/16/97,100,22,05/04/08,1,194
08/17/97,1,174,05/04/08,7,194
08/17/97,7,192,05/04/08,15,207
08/17/97,15,420,05/04/08,25,326
08/17/97,25,632,05/04/08,35,422
08/17/97,35,436,05/04/08,45,315
08/17/97,55,214,05/04/08,55,271
08/17/97,75,79,05/04/08,75,269
08/17/97,100,29,05/04/08,100,165
09/17/97,1,131,06/03/08,1,143
09/17/97,7,148,06/03/08,1,145
09/17/97,15,113,06/03/08,1,135
09/17/97,25,137,06/03/08,7,137
09/17/97,35,222,06/03/08,15,138
09/17/97,55,346,06/03/08,25,212
09/17/97,75,48,06/03/08,35,252
09/17/97,100,75,06/03/08,45,789
10/14/97,1,104,06/03/08,55,502
10/14/97,7,113,06/03/08,75,426
10/14/97,15,136,06/03/08,100,237
10/14/97,25,281,07/08/08,1,203
10/14/97,35,256,07/08/08,7,228
10/14/97,55,328,07/08/08,15,232
10/14/97,75,103,07/08/08,25,1076
10/14/97,100,27,07/08/08,30,1876
11/13/97,1,142,07/08/08,35,662
11/13/97,7,156,07/08/08,55,365
11/13/97,15,176,07/08/08,75,79
11/13/97,25,274,07/08/08,100,52
11/13/97,35,650,08/05/08,1,250
11/13/97,55,63,08/05/08,7,260
11/13/97,75,14,08/05/08,15,271
11/13/97,100,10,08/05/08,15,251
12/17/97,1,338,08/05/08,25,237
12/17/97,7,438,08/05/08,35,1051
12/17/97,15,1053,08/05/08,40,701
12/17/97,25,516,08/05/08,55,444
12/17/97,35,30,08/05/08,75,831
12/17/97,55,274,08/05/08,100,139
12/17/97,75,219,09/10/08,1,122
12/17/97,100,71,09/10/08,1,121
01/14/98,1,582,09/10/08,1,135
01/14/98,7,457,09/10/08,7,129
01/14/98,15,577,09/10/08,15,105
01/14/98,25,358,09/10/08,25,162
01/14/98,35,648,09/10/08,35,311
01/14/98,55,197,09/10/08,45,496
01/14/98,75,126,09/10/08,55,414
01/14/98,100,33,09/10/08,75,131
02/11/98,1,320,09/10/08,100,99
02/11/98,7,320,10/10/08,1,99
02/11/98,15,281,10/10/08,1,97
02/11/98,25,424,10/10/08,7,96
02/11/98,35,273,10/10/08,15,120
02/11/98,55,222,10/10/08,25,192
02/11/98,75,134,10/10/08,35,265
02/11/98,100,135,10/10/08,55,440
03/12/98,1,3830,10/10/08,60,565
03/12/98,7,4198,10/10/08,75,388
03/12/98,15,3301,10/10/08,100,109
03/12/98,25,248,11/18/08,1,142
03/12/98,35,142,11/18/08,1,137
03/12/98,55,32,11/18/08,7,156
03/12/98,75,23,11/18/08,15,165
03/12/98,100,46,11/18/08,25,194
04/21/98,1,237,11/18/08,35,418
04/21/98,7,216,11/18/08,55,431
04/21/98,15,275,11/18/08,75,226
04/21/98,25,614,11/18/08,100,112
04/21/98,35,420,12/10/08,1,110
04/21/98,55,328,12/10/08,1,109
04/21/98,75,116,12/10/08,7,117
04/21/98,100,51,12/10/08,7,118
06/09/98,2,164,12/10/08,15,125
06/09/98,7,198,12/10/08,25,229
06/09/98,15,242,12/10/08,35,275
06/09/98,25,366,12/10/08,40,669
06/09/98,35,1085,12/10/08,55,383
06/09/98,55,865,12/10/08,75,77
06/09/98,75,308,12/10/08,100,33
06/09/98,101,61,01/13/09,1,1333
07/09/98,1,230,01/13/09,1,1355
07/09/98,8,177,01/13/09,7,1419
07/09/98,15,307,01/13/09,15,1457
07/09/98,25,735,01/13/09,25,1354
07/09/98,35,366,01/13/09,35,802
07/09/98,55,220,01/13/09,55,268
08/05/98,2,148,01/13/09,75,69
08/05/98,7,210,01/13/09,100,32
08/05/98,15,188,02/10/09,1,294
08/05/98,25,183,02/10/09,1,320
08/05/98,35,272,02/10/09,7,293
08/05/98,55,564,02/10/09,15,283
08/05/98,76,165,02/10/09,25,507
08/05/98,101,25,02/10/09,30,844
09/01/98,2,159,02/10/09,35,1051
09/01/98,7,170,02/10/09,55,799
09/01/98,16,368,02/10/09,75,218
09/01/98,25,240,02/10/09,100,104
09/01/98,35,360,03/03/09,1,730
09/01/98,55,25,03/03/09,1,705
09/01/98,75,145,03/03/09,7,658
09/01/98,100,25,03/03/09,15,732
10/14/98,2,180,03/03/09,25,1050
10/14/98,6,122,03/03/09,35,232
10/14/98,14,219,03/03/09,55,104
10/14/98,24,312,03/03/09,75,58
10/14/98,34,1098,03/03/09,100,24
10/14/98,54,400,04/07/09,1,305
10/14/98,74,3,04/07/09,1,326
10/14/98,99,15,04/07/09,7,318
11/10/98,2,169,04/07/09,15,366
11/10/98,6,184,04/07/09,25,521
11/10/98,14,137,04/07/09,35,397
11/10/98,24,193,04/07/09,55,401
11/10/98,34,357,04/07/09,75,206
11/10/98,54,670,04/07/09,75,210
11/10/98,74,189,04/07/09,100,27
11/10/98,99,104,05/08/09,1,834
12/16/98,1,160,05/08/09,1,882
12/16/98,15,53,05/08/09,7,877
12/16/98,25,111,05/08/09,15,833
12/16/98,35,349,05/08/09,25,556
12/16/98,55,194,05/08/09,35,413
12/16/98,75,83,05/08/09,55,201
12/16/98,101,152,05/08/09,75,142
01/12/99,2,2630,05/08/09,100,46
01/12/99,7,2023,06/02/09,1,441
01/12/99,15,3140,06/02/09,1,371
01/12/99,25,1362,06/02/09,7,414
01/12/99,35,1034,06/02/09,15,422
01/12/99,55,143,06/02/09,25,607
01/12/99,75,33,06/02/09,35,725
02/10/99,2,2433.3,06/02/09,55,242
03/04/99,7,16.3,06/02/09,75,200
03/04/99,16,24.4,06/02/09,100,83
03/04/99,25,43.7,07/14/09,1,102
03/04/99,35,9.6,07/14/09,1,101
04/07/99,2,102.3,07/14/09,7,110
04/07/99,7,146,07/14/09,15,120
04/07/99,16,100.2,07/14/09,25,170
04/07/99,25,264.2,07/14/09,35,431
04/07/99,35,275.2,07/14/09,55,326
04/07/99,55,262.5,07/14/09,75,177
04/07/99,75,150.5,07/14/09,100,62
04/07/99,100,34.5,08/11/09,1,222
05/06/99,2,20.7,08/11/09,1,223
05/06/99,16,2.4,08/11/09,1,222
06/08/99,2,58.6,08/11/09,7,208
06/08/99,7,53,08/11/09,15,906
06/08/99,16,106.1,08/11/09,20,1338
06/08/99,25,165.3,08/11/09,25,765
06/08/99,35,1963.8,08/11/09,35,689
06/08/99,55,153.6,08/11/09,55,388
06/08/99,75,90.5,08/11/09,75,189
06/08/99,75,313.8,08/11/09,100,102
06/08/99,100,8.6,09/15/09,1,266
07/15/99,2,280.3,09/15/09,1,259
07/15/99,7,242.5,09/15/09,7,261
07/15/99,16,38.2,09/15/09,15,268
07/15/99,25,68.9,09/15/09,25,384
07/15/99,35,997.3,09/15/09,35,391
07/15/99,55,535,09/15/09,45,647
07/15/99,75,27,09/15/09,55,758
07/15/99,100,6.9,09/15/09,75,449
08/11/99,2,128.7,09/15/09,100,50
08/11/99,7,37.3,10/07/09,1,158
08/11/99,16,41.3,10/07/09,1,154
08/11/99,25,92.8,10/07/09,7,179
08/11/99,35,384.4,10/07/09,15,161
08/11/99,55,982.7,10/07/09,25,195
08/11/99,75,65.4,10/07/09,30,1062
08/11/99,100,21.7,10/07/09,35,912
09/14/99,2,78.5,10/07/09,55,443
09/14/99,7,59.8,10/07/09,75,162
09/14/99,16,79.3,10/07/09,100,83
09/14/99,25,102.2,11/10/09,1,134
09/14/99,35,100.5,11/10/09,1,131
09/14/99,55,762.5,11/10/09,7,135
09/14/99,75,121.1,11/10/09,15,132
09/14/99,100,125.6,11/10/09,25,120
10/05/99,2,61.9,11/10/09,35,182
10/05/99,7,47,11/10/09,55,254
10/05/99,16,56.1,11/10/09,64,553
10/05/99,25,70,11/10/09,75,331
10/05/99,35,96.9,11/10/09,100,207
10/05/99,55,250.4,12/08/09,1,213
10/05/99,75,214.7,12/08/09,1,239
10/05/99,100,46.7,12/08/09,7,232
11/04/99,1,76,12/08/09,15,229
11/04/99,7,71.9,12/08/09,25,239
11/04/99,15,84.9,12/08/09,35,449
11/04/99,25,66.5,12/08/09,40,1005
11/04/99,35,84.1,12/08/09,55,273
11/04/99,55,134.1,12/08/09,75,53
11/04/99,75,66,12/08/09,100,36
11/04/99,100,20.1,01/07/10,1,263
12/07/99,1,87.3,01/07/10,1,262
12/07/99,7,45.1,01/07/10,7,282
12/07/99,15,217.9,01/07/10,15,269
12/07/99,25,120.2,01/07/10,25,258
12/07/99,35,74.1,01/07/10,25,256
12/07/99,55,63.7,01/07/10,35,829
12/07/99,75,78.5,01/07/10,55,386
12/07/99,100,62.4,01/07/10,75,136
01/11/00,1,1078.3,01/07/10,100,42
01/11/00,7,961,02/11/10,1,4350
01/11/00,15,785.5,02/11/10,1,4644
01/11/00,25,477.6,02/11/10,7,4154
01/11/00,35,337.7,02/11/10,15,4413
01/11/00,55,96.3,02/11/10,25,1952
01/11/00,75,33.8,02/11/10,35,203
01/11/00,100,16.6,02/11/10,55,82
02/08/00,1,1162.2,03/09/10,1,183
02/08/00,7,892.8,03/09/10,7,185
02/08/00,15,950.2,03/09/10,7,169
02/08/00,25,906.5,03/09/10,15,177
02/08/00,35,197.1,03/09/10,25,161
02/08/00,55,82.6,03/09/10,35,682
02/08/00,75,39.6,03/09/10,55,500
02/08/00,100,21.3,03/09/10,75,294
03/09/00,1,145.5,03/09/10,100,130
03/09/00,7,151.1,04/07/10,1,223
03/09/00,15,156,04/07/10,1,218
03/09/00,25,349.6,04/07/10,7,239
03/09/00,35,127.5,04/07/10,15,250
03/09/00,55,48.1,04/07/10,25,346
03/09/00,75,24.4,04/07/10,35,482
03/09/00,100,18.6,04/07/10,44,546
04/11/00,1,623.2,04/07/10,55,295
04/11/00,15,571.2,04/07/10,75,193
04/11/00,25,565,04/07/10,100,56
04/11/00,35,309.3,05/11/10,1,210
04/11/00,55,62.5,05/11/10,1,206
04/11/00,75,28.7,05/11/10,1,213
04/11/00,100,24,05/11/10,7,207
05/11/00,1,340.5,05/11/10,15,229
05/11/00,7,336.8,05/11/10,25,227
05/11/00,15,313.5,05/11/10,30,1127
05/11/00,25,1058.9,05/11/10,35,1018
05/11/00,35,468.2,05/11/10,55,371
05/11/00,55,165.3,05/11/10,75,292
05/11/00,75,132.5,05/11/10,100,153
05/11/00,100,0,06/08/10,1,140
06/06/00,1,159.5,06/08/10,1,143
06/06/00,7,152.4,06/08/10,7,142
06/06/00,15,160.1,06/08/10,15,144
06/06/00,25,218.6,06/08/10,25,132
06/06/00,35,206.9,06/08/10,35,183
06/06/00,55,157.2,06/08/10,45,484
06/06/00,75,130.5,06/08/10,55,465
06/06/00,100,38.7,06/08/10,75,116
07/07/00,1,97.1,06/08/10,100,69
07/07/00,7,170.9,08/04/10,1,142
07/07/00,15,91.6,08/04/10,1,147
07/07/00,25,149.8,08/04/10,7,148
07/07/00,35,84.1,08/04/10,15,186
07/07/00,55,37.1,08/04/10,25,235
08/09/00,1,100.1,08/04/10,35,370
08/09/00,7,84.9,08/04/10,40,689
08/09/00,15,94.8,08/04/10,55,217
08/09/00,25,97.8,08/04/10,75,135
08/09/00,35,282.1,08/04/10,100,77
08/09/00,55,197.4,09/15/10,1,215
08/09/00,75,176.6,09/15/10,1,210
08/09/00,100,60.3,09/15/10,7,215
09/12/00,1,263.8,09/15/10,7,210
09/12/00,7,278.9,09/15/10,15,233
09/12/00,15,285.1,09/15/10,25,271
09/12/00,25,169.3,09/15/10,35,288
09/12/00,35,176.3,09/15/10,50,645
09/12/00,55,611.3,09/15/10,55,545
09/12/00,75,276.8,09/15/10,75,278
09/12/00,100,36.2,10/05/10,1,182
10/10/00,1,86.4,10/05/10,1,190
10/10/00,7,75.9,10/05/10,7,187
10/10/00,15,94.8,10/05/10,15,186
10/10/00,25,132.7,10/05/10,25,203
10/10/00,35,276.6,10/05/10,35,278
10/10/00,55,294.6,10/05/10,55,497
10/10/00,75,59.4,10/05/10,61,577
10/10/00,100,66.9,10/05/10,75,307
,,,10/05/10,100,96
,,,11/09/10,1,110
,,,11/09/10,1,118
,,,11/09/10,7,116
,,,11/09/10,15,127
,,,11/09/10,25,171
,,,11/09/10,35,278
,,,11/09/10,43,1004
,,,11/09/10,55,290
,,,11/09/10,75,135
,,,11/09/10,100,68
,,,12/08/10,1,198
,,,12/08/10,1,176
,,,12/08/10,7,199
,,,12/08/10,15,216
,,,12/08/10,15,212
,,,12/08/10,22,1185
,,,12/08/10,25,914
,,,12/08/10,35,563
,,,12/08/10,55,160
,,,12/08/10,75,42
,,,12/08/10,100,10
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
