n.d=no determined,,CRUISE,YEAR,MONTH,Analyst,Mesh Size,TOTAL DENSITY,BIOMASS,ASH,COPEPODOS,CALANOIDS,CYCLOPOIDA,HAPARCTICOIDA,POECILOSTOMATOIDA,,L.FISH,H.FISH,CHAETOGNATHA,CLADOCEROS,OSTRACODA,FORAMINIFERA,AMPHIPODS,ISOPODS,EUPHAUSIIDS,MISYDACEA,SERGESTID,L.CRUSTACEA,N.COPEPOD,COPEPODITE,N.CIRRIPEDIA,L.CYPRIS,L.DECAPODA,L.STOMATOPODA,L.EUPHAUSIID,L.SERGESTID,,POLICHAETES,L.CYPHONAUTES,MEDUSA,SIPHONOPHORES,CTENOPHORES,L.ECHINODERMS,PTEROPODS,HETEROPODS,GASTROPODS,L.CEPHALOPODA,L.BIVALVE,L.GASTROPOD,PROTOZOAN,RADIOLARIAN,FORAMINIFERA,,,APPENDICULARIANS,SALPS,DOLIOLIDS,BIVALVES,H.CRUSTACEA,L.ANFIOXUS,LUCIFER,JUV. GASTROPOD,,,,,,,,
,,83,2002,11,Javier Gutierrez,200,779,4.8,1.1,736.0,n.d.,n.d.,n.d.,n.d.,,2.1,9.5,,5.3,4.2,5.2,,n.d.,,,n.d.,4.20,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,4.2,,1.1,,3.2,,n.d.,,,n.d.,,,5.2,,,,,,,4.2,n.d.,,n.d.,,,,,,,,
,,84,2002,12,Javier Gutierrez,200,615,5.5,1.6,454.4,n.d.,n.d.,n.d.,n.d.,,,20.8,7.8,77.9,1.3,20.8,1.3,n.d.,,,n.d.,3.89,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,1.3,n.d.,,,,,,,n.d.,,,n.d.,,,20.8,,,1.3,22.1,,,,n.d.,2.6,n.d.,,,,,,,,
,,85,2003,1,Javier Gutierrez,200,740,12.0,2.6,701.9,n.d.,n.d.,n.d.,n.d.,,1.3,2.7,1.3,,,22.5,,n.d.,,,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,,,1.3,,,,n.d.,,,n.d.,,,22.5,,,,1.3,,,8.0,n.d.,,n.d.,,,,,,,,
,,86,2003,2,Javier Gutierrez,200,168,11.8,4.4,152.4,n.d.,n.d.,n.d.,n.d.,,,4.6,4.6,1.3,,,,n.d.,,,n.d.,0.66,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,1.3,n.d.,,2.0,,,,,n.d.,,,n.d.,,,,,,,,,,,n.d.,0.7,n.d.,,,,,,,,
,,87,2003,3,Javier Gutierrez,200,1110,21.9,4.9,1054.2,n.d.,n.d.,n.d.,n.d.,,,15.0,12.9,12.9,,,,n.d.,,,n.d.,2.14,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,,,,,12.9,,n.d.,,,n.d.,,,,,,,,,,,n.d.,,n.d.,,,,,,,,
,,88,2003,4,Javier Gutierrez,200,215,12.0,3.2,199.1,n.d.,n.d.,n.d.,n.d.,,,,1.9,,0.9,2.8,6.5,n.d.,,,n.d.,0.93,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,2.8,n.d.,,,,,,,n.d.,,,n.d.,,,2.8,,,,,,,,n.d.,,n.d.,,,,,,,,
,,89,2003,5,Javier Gutierrez,200,307,11.3,2.1,215.6,n.d.,n.d.,n.d.,n.d.,,0.6,0.6,7.1,26.0,14.5,26.6,3.7,n.d.,,,n.d.,5.87,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,,,,0.3,2.8,,n.d.,0.9,,n.d.,,,26.6,,,,1.2,,,,n.d.,0.9,n.d.,,,,,,,,
,,90,2003,6,Javier Gutierrez,200,363,13.6,4.2,266.4,n.d.,n.d.,n.d.,n.d.,,0.4,7.2,20.1,16.7,9.1,26.9,3.4,n.d.,0.8,,n.d.,4.93,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,1.1,n.d.,1.5,0.8,,,4.2,,n.d.,,,n.d.,,,26.9,,,,,,,,n.d.,,n.d.,,,,,,,,
,,91,2003,7,Javier Gutierrez,200,541,7.5,1.7,452.8,n.d.,n.d.,n.d.,n.d.,,,3.0,44.9,7.7,20.1,,0.6,n.d.,1.8,,n.d.,5.32,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,2.4,n.d.,0.6,,,,,,n.d.,,,n.d.,,,,,,,,,,2.4,n.d.,,n.d.,,,,,,,,
,,93,2003,9,Javier Gutierrez,200,453,8.6,1.9,375.0,n.d.,n.d.,n.d.,n.d.,,,2.7,7.1,10.7,6.3,23.2,6.3,n.d.,5.4,,n.d.,6.25,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,,,,,1.8,,n.d.,,,n.d.,,,23.2,,,2.7,4.5,,,,n.d.,0.9,n.d.,,,,,,,,
,,94,2003,11,Javier Gutierrez,200,354,4.3,1.7,323.1,n.d.,n.d.,n.d.,n.d.,,,,2.8,2.8,5.6,9.9,2.8,n.d.,1.4,,n.d.,1.41,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,2.8,,,,,,n.d.,,,n.d.,,,9.9,,,,,,,1.4,n.d.,,n.d.,,,,,,,,
,,95,2003,12,Javier Gutierrez,200,579,9.1,2.8,449.6,n.d.,n.d.,n.d.,n.d.,,,2.3,12.7,48.6,1.2,47.4,4.6,n.d.,,,n.d.,2.31,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,6.9,,,1.2,2.3,,n.d.,,,n.d.,,,47.4,,,,,,,,n.d.,,n.d.,,,,,,,,
,,96,2004,1,Javier Gutierrez,200,574,10.7,2.6,466.2,n.d.,n.d.,n.d.,n.d.,,,1.5,4.5,9.0,3.0,3.0,3.0,n.d.,,,n.d.,16.49,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,1.5,,,,3.0,,n.d.,,,n.d.,63.0,,3.0,,,,,,,,n.d.,,n.d.,,,,,,,,
,,97,2004,2,Javier Gutierrez,200,277,5.6,1.3,228.7,n.d.,n.d.,n.d.,n.d.,,,7.5,2.1,17.8,,,,n.d.,,,n.d.,7.53,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,2.7,n.d.,,3.4,,,7.5,,n.d.,,,n.d.,,,,,,,,,,,n.d.,,n.d.,,,,,,,,
,,98,2004,3,Javier Gutierrez,200,627,6.2,1.8,567.2,n.d.,n.d.,n.d.,n.d.,,,,3.0,17.8,,4.5,5.9,n.d.,,,n.d.,17.82,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,1.5,3.0,,,5.9,,n.d.,,,n.d.,,,4.5,,,,,,,,n.d.,,n.d.,,,,,,,,
,,99,2004,4,Javier Gutierrez,200,434,18.3,5.1,409.9,n.d.,n.d.,n.d.,n.d.,,,3.1,10.7,,,1.5,1.5,n.d.,,,n.d.,3.07,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,3.1,,,,,,n.d.,,,n.d.,,,1.5,,,,,,,,n.d.,,n.d.,,,,,,,,
,,100,2004,5,Javier Gutierrez,200,15,11.5,4.1,1.2,n.d.,n.d.,n.d.,n.d.,,,,1.2,1.3,3.7,1.2,1.3,n.d.,,,n.d.,3.74,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,,,,,1.3,,n.d.,,,n.d.,,,1.2,,,,,,,,n.d.,,n.d.,,,,,,,,
,,101,2004,6,Javier Gutierrez,200,395,14.0,3.9,302.1,n.d.,n.d.,n.d.,n.d.,,5.0,9.0,2.0,,4.0,7.0,6.0,n.d.,,,n.d.,3.99,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,1.0,n.d.,1.0,7.0,,,,,n.d.,,,n.d.,,,7.0,,,36.9,,10.0,,,n.d.,,n.d.,,,,,,,,
,,102,2004,7,Javier Gutierrez,200,116,18.2,5.6,88.1,n.d.,n.d.,n.d.,n.d.,,,2.7,1.4,2.3,,,16.9,n.d.,0.9,,n.d.,1.83,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,1.8,n.d.,,,,,,,n.d.,,,n.d.,,,,,,,,,,,n.d.,,n.d.,,,,,,,,
,,103,2004,8,Javier Gutierrez,200,433,15.8,3.9,405.0,n.d.,n.d.,n.d.,n.d.,,0.5,0.5,2.1,4.7,6.3,1.6,5.2,n.d.,,,n.d.,3.14,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,0.5,n.d.,,,,,1.6,,n.d.,,,n.d.,,,1.6,,,,,1.1,,,n.d.,1.1,n.d.,,,,,,,,
,,104,2004,9,Javier Gutierrez,200,1083,11.4,2.4,937.4,n.d.,n.d.,n.d.,n.d.,,,9.0,,30.6,,12.6,5.4,n.d.,,,n.d.,21.63,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,,,,,12.6,,n.d.,,,n.d.,,10.8,12.6,,,30.6,,12.6,,,n.d.,,n.d.,,,,,,,,
,,105,2004,10,Javier Gutierrez,200,199,5.4,1.1,179.1,n.d.,n.d.,n.d.,n.d.,,,2.3,0.8,1.6,3.1,9.3,0.8,n.d.,,,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,0.8,n.d.,,,,,,,n.d.,,,n.d.,,,9.3,,,0.8,,,,,n.d.,,n.d.,,,,,,,,
,,106,2004,11,Javier Gutierrez,200,191,3.4,1.4,158.5,n.d.,n.d.,n.d.,n.d.,,,12.5,4.8,6.2,0.5,2.4,0.5,n.d.,,,n.d.,0.96,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,0.5,n.d.,,,2.4,,1.0,,n.d.,,,n.d.,,,2.4,,,,,,,,n.d.,0.5,n.d.,,,,,,,,
,,107,2004,12,Javier Gutierrez,200,326,5.8,2.0,284.1,n.d.,n.d.,n.d.,n.d.,,1.0,1.0,7.8,9.7,,11.6,1.0,n.d.,,,n.d.,0.97,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,1.9,,,,,,n.d.,1.0,,n.d.,,,11.6,,,5.8,,,,,n.d.,,n.d.,,,,,,,,
,,108,2005,1,Javier Gutierrez,200,168,6.0,1.7,161.7,n.d.,n.d.,n.d.,n.d.,,,,0.4,1.6,0.8,0.8,0.4,n.d.,,,n.d.,1.55,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,,,,,0.4,,n.d.,,,n.d.,,,0.8,,,0.4,,,,,n.d.,,n.d.,,,,,,,,
,,109,2005,2,Javier Gutierrez,200,98,9.8,2.2,88.7,n.d.,n.d.,n.d.,n.d.,,1.7,0.6,,5.6,,,1.1,n.d.,,,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,,,,,,,n.d.,,,n.d.,,,,,,,,,,,n.d.,,n.d.,,,,,,,,
,,110,2005,3,Javier Gutierrez,200,375,13.7,2.9,336.1,n.d.,n.d.,n.d.,n.d.,,,1.7,1.7,11.9,17.6,0.6,4.5,n.d.,,,n.d.,0.57,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,,,,,,,n.d.,,,n.d.,,,0.6,,,,,,,,n.d.,,n.d.,,,,,,,,
,,111,2005,4,Javier Gutierrez,200,271,10.9,2.5,229.2,n.d.,n.d.,n.d.,n.d.,,,3.4,5.1,0.9,,6.8,9.3,n.d.,0.9,,n.d.,13.53,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,,,,,0.9,,n.d.,,0.9,n.d.,,,6.8,,,,,,,,n.d.,,n.d.,,,,,,,,
,,112,2005,5,Javier Gutierrez,200,220,9.9,2.4,209.0,n.d.,n.d.,n.d.,n.d.,,,,,,,8.4,1.4,n.d.,,,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,,0.7,,,0.7,,n.d.,,,n.d.,,,8.4,,,,,,,,n.d.,,n.d.,,,,,,,,
,,113,2005,6,Javier Gutierrez,200,564,6.2,1.6,512.3,n.d.,n.d.,n.d.,n.d.,,1.0,,6.2,17.5,9.3,,2.1,n.d.,,,n.d.,4.12,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,1.0,n.d.,,,,,4.1,,n.d.,,1.0,n.d.,,,,,,4.1,,1.0,,,n.d.,,n.d.,,,,,,,,
,,114,2005,7,Javier Gutierrez,200,291,8.2,1.9,265.9,n.d.,n.d.,n.d.,n.d.,,2.8,,2.8,,6.5,,5.6,n.d.,,,n.d.,1.85,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,3.7,n.d.,,,,,0.9,,n.d.,,,n.d.,,,,,,,,,,,n.d.,0.9,n.d.,,,,,,,,
,,115,2005,8,Javier Gutierrez,200,505,5.6,0.9,451.9,n.d.,n.d.,n.d.,n.d.,,,,5.6,6.6,15.0,,11.3,n.d.,,,n.d.,8.44,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,,,,,,,n.d.,,,n.d.,,,,,,,,3.8,,,n.d.,2.8,n.d.,,,,,,,,
,,117,2005,12,Javier Gutierrez,200,489,10.7,,411.0,n.d.,n.d.,n.d.,n.d.,,0.9,,9.5,21.5,13.8,12.9,,n.d.,,,n.d.,10.34,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,,,,,3.5,,n.d.,,,n.d.,,,12.9,,,,,,,,n.d.,6.0,n.d.,,,,,,,,
,,118,2006,1,Javier Gutierrez,200,497,17.5,7.1,440.8,n.d.,n.d.,n.d.,n.d.,,1.6,1.6,28.1,,8.8,9.6,4.8,n.d.,,,n.d.,1.60,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,,,,,,,n.d.,,,n.d.,,,9.6,,,,,,,,n.d.,,n.d.,,,,,,,,
,,119,2006,2,Javier Gutierrez,200,384,19.3,5.5,351.0,n.d.,n.d.,n.d.,n.d.,,,1.9,8.4,5.6,,1.9,2.8,n.d.,,,n.d.,2.79,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,7.4,n.d.,,,,,,,n.d.,,,n.d.,,,1.9,,,,0.9,,,0.9,n.d.,,n.d.,,,,,,,,
,,120,2006,3,Javier Gutierrez,200,549,12.2,3.5,474.4,n.d.,n.d.,n.d.,n.d.,,,4.3,3.2,,15.0,29.9,4.3,n.d.,3.2,,n.d.,11.75,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,,1.1,,,,,n.d.,,,n.d.,,,29.9,,,,,,,,n.d.,2.1,n.d.,,,,,,,,
,,121,2006,4,Javier Gutierrez,200,610,17.7,4.5,569.2,n.d.,n.d.,n.d.,n.d.,,,4.1,13.6,2.7,4.1,8.1,1.4,n.d.,,,n.d.,6.78,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,,,,,,,n.d.,,,n.d.,,,8.1,,,,,,,,n.d.,,n.d.,,,,,,,,
,,122,2006,5,Javier Gutierrez,200,217,14.0,7.3,178.8,n.d.,n.d.,n.d.,n.d.,,1.9,,5.8,5.8,,6.8,2.9,n.d.,,,n.d.,5.80,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,1.9,n.d.,,,,,,,n.d.,,,n.d.,5.8,,6.8,,,,,,,,n.d.,1.9,n.d.,,,,,,,,
,,123,2006,6,Javier Gutierrez,200,216,10.0,,183.2,n.d.,n.d.,n.d.,n.d.,,1.3,3.3,2.0,,,6.7,2.7,n.d.,,,n.d.,4.00,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,1.3,,,,,,n.d.,,,n.d.,,,6.7,,,7.3,,4.0,,,n.d.,,n.d.,,,,,,,,
,,124,2006,7,Javier Gutierrez,200,170,4.0,1.0,129.8,n.d.,n.d.,n.d.,n.d.,,1.8,4.8,3.6,1.8,3.6,,8.5,n.d.,1.8,,n.d.,7.25,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,0.6,n.d.,1.2,,,,1.2,,n.d.,,,n.d.,,,,,,,,,,,n.d.,3.6,n.d.,,,,,,,,
,,125,2006,8,Javier Gutierrez,200,442,15.7,,370.5,n.d.,n.d.,n.d.,n.d.,,5.6,2.8,5.6,5.6,11.2,11.2,7.5,n.d.,5.6,,n.d.,4.68,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,0.9,n.d.,4.7,,,0.9,1.9,,n.d.,,0.9,n.d.,,,11.2,,,,,,,,n.d.,1.9,n.d.,,,,,,,,
,,126,2006,9,Javier Gutierrez,200,305,12.7,,258.1,n.d.,n.d.,n.d.,n.d.,,,,4.6,4.6,,8.0,4.0,n.d.,,1.3,n.d.,8.62,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,0.7,n.d.,,,,,1.3,,n.d.,,,n.d.,,,8.0,,,5.3,,3.3,,3.3,n.d.,1.3,n.d.,,,,,,,,
,,127,2006,10,Luis Gonzalez,200,2477,8.0,,2270.6,n.d.,n.d.,n.d.,n.d.,,4.3,0.5,5.9,9.7,32.2,10.2,11.8,,1.6,,,2.15,,,1.6,0.5,,,,,,10.2,1.1,,,,,3.2,,,,,,,0.5,10.2,,,72.5,,1.1,,33.6,,2.7,,,,,,,,,
,,128,2006,11,Luis Gonzalez,200,543,6.3,,371.1,304.3,50.6,16.1,,,,,4.4,1.5,2.9,45.5,2.9,,,,,79.20,4.4,68.9,1.5,,2.9,,1.5,,,7.3,,,,,,5.9,,,,,,,,45.5,,,11.7,,,,,,,0.5,,,,,,,,
,,129,2006,12,Luis Gonzalez,200,862,7.3,7.3,566.2,247.1,319.2,,,,,0.7,1.4,1.4,18.5,13.7,1.4,,0.7,,,192.52,8.2,180.2,,0.7,2.1,1.4,,,,4.1,,,,,,2.7,1.4,0.7,,,,,14.4,13.7,,,26.1,0.7,2.1,,,,,,,,,,,,,
,,130,2007,2,Luis Gonzalez,200,1334,18.2,18.2,728.6,337.3,350.8,40.5,,,0.9,,33.7,9.0,58.5,2.7,4.5,0.9,0.9,,,403.87,49.5,346.3,1.8,3.6,,,2.7,,,2.7,0.9,1.8,4.5,,,5.4,1.8,,,6.3,,,0.9,2.7,,,2.7,3.6,2.7,,,,,0.7,,,,,,,,
,,131,2007,3,Luis Gonzalez,200,270,8.3,8.3,225.2,113.0,111.4,0.8,,,0.4,4.7,5.5,3.1,1.6,1.2,0.8,0.4,,,,3.92,,0.8,0.4,1.6,0.4,,0.4,0.4,,0.8,,,0.4,,0.4,,0.4,0.4,,0.4,,,0.4,1.2,,,15.7,,0.4,,,,,,,,,,,,,
,,133,2007,5,Luis Gonzalez,200,631,14.6,14.6,296.3,255.5,33.6,7.2,,,,1.2,9.6,,18.4,16.8,4.8,,1.2,,,247.70,3.6,240.5,,,1.2,,2.4,,,3.6,,,,,,1.2,1.2,,,,,,,16.8,,,14.4,1.2,6.0,,,,,0.4,,,,,,,,
,,134,2007,6,Luis Gonzalez,200,899,9.6,3.1,509.2,279.8,216.0,13.5,,,,1.4,6.4,,23.4,11.3,3.5,,0.7,,,315.17,2.1,308.1,2.1,,1.4,,,1.4,,2.8,,0.7,,,,0.7,,,2.1,0.7,,,1.4,11.3,,,10.6,,1.4,,,,,,,,,,,,,
,,135,2007,7,Luis Gonzalez,200,1361,16.8,3.7,729.7,502.9,226.3,0.4,,,,,2.5,2.9,9.2,2.1,4.2,,,,2.9,403.18,129.9,201.2,0.8,22.6,1.7,,0.8,46.1,,0.8,0.4,,,,,0.8,,,,,,,,2.1,,,,,,,,,,,,,,,,,,
,,136,2007,8,Luis Gonzalez,200,1121,16.2,3.4,792.1,571.8,219.5,0.7,,,0.7,,5.2,1.5,12.5,2.2,1.5,,0.7,,0.7,248.66,4.4,239.9,,0.7,0.7,,2.2,0.7,,0.7,,,0.7,,,0.7,,,,,,,,2.2,,,42.4,,1.5,,,,,,,,,,,,,
,,138,2007,10,Luis Gonzalez,200,602,4.9,0.7,492.4,241.4,245.1,5.9,,,,,1.1,2.1,8.1,11.3,,,,,0.5,60.07,1.6,56.3,,,0.5,,1.1,0.5,,2.1,,,,,0.5,7.0,,,,,,,5.9,11.3,,,6.4,,0.5,,,,,,,,,,,,,
