unlimited,year,ISO_DateTime_UTC,ISO_DateTime_local,month,day,hour,Date,decimal_year,Longitude,Latitude,Cruise_number,Cruise_Leg,Station,Cast_number,Biogeochemical_Cruise_ID,Core_CARIACO_ID,Notes,Comments,Depth,Corrected_Depth,Winkler_O2_avg,Winkler_O2_flags,NO3,NO2,NH4,PO4,H2S,H2S_comment,CH4,CH4_comment,Acetate,Propionate,Incorporation_Acetate_Uptake_rate_constant,Respiration_Acetate_Uptake_rate_constant,Total_Acetate_uptake_rate_constant,Sulfite,SD_Sulfite,Thiosulfate,SD_Thiosulfate,Particulate_Elemental_sulfur,SD_Particulate_Elemental_sulfur,Particulate_element_sulfur_flags,Total_zero_valent_sulfur,SD_Total_zero_valent_sulfur,Total_zero_valent_Sulfur_flags,Total_Prokaryote_Cell_Density,SD_Total_Prokaryotes,Total_Prokaryote_Biomass_Estimates,SD_Prokaryote_Biomass_Estimates,Cyanobacteria,SD_Cyanobacteria,Methanogens,SD_Methanogens,Flagellated_Protists,SD_Flagellated_Protists,Ciliated_Protists,SD_Ciliated_Protists,Viral_Like_Particles_VLP,SD_Viral_Like_Particles_VLP,Heterotrophic_Bacterial_Production,SD_Heterotrophic_Bacterial_Production,Dark_carbon_fixation_rate,SD_Dark_carbon_fixation_rate,dissolved_Mn,SD_dissolved_Mn,dissolved_Fe,SD_dissolved_Fe
10,1995,1995-11-14 09:30:00,1995-11-14 05:30:00,11,14,,b'1995-11-14',1995.8689,-64.66,10.5,1,3,CAR,2,CAR-1,93HG_1,cast 2: Begun at 0530; 14 Nov 1995; end. 0630,Locations for individual casts not recorded,7,7.0,,,,,,,,n.f.,,n.f.,0.9666666666666665,,0.07872,0.03,0.10872,,,,,,,n.f.,,,n.f.,612901652.9501553,21411744.479642026,19.99679830357392,0.6985889720253126,36500000.0,5520000.0,401000.0,105000.0,167003.71283812803,39013.16242530041,,,,,0.11699999999999999,0.067,,,,,,
11,1995,1995-11-14 09:30:00,1995-11-14 05:30:00,11,14,,b'1995-11-14',1995.8689,-64.66,10.5,1,3,CAR,2,CAR-1,93HG_1,cast 2: Begun at 0530; 14 Nov 1995; end. 0630,Locations for individual casts not recorded,15,15.0,,,,,,,,n.f.,0.02,n.f.,2.8221568627450986,,,,,,,,,,,n.f.,,,n.f.,518134608.71541035,61855403.04997779,16.90488712946231,2.0181215254077145,37500000.0,3890000.0,439000.0,105000.0,167003.71283812803,41887.816498743596,,,,,0.059000000000000004,,,,,,,
12,1995,1995-11-14 09:30:00,1995-11-14 05:30:00,11,14,,b'1995-11-14',1995.8689,-64.66,10.5,1,3,CAR,2,CAR-1,93HG_1,cast 2: Begun at 0530; 14 Nov 1995; end. 0630,Locations for individual casts not recorded,55,55.0,,,,,,,,n.f.,0.016,a,2.3,,0.02928,0.0192,0.04848,,,,,,,n.f.,,,n.f.,408788019.2137816,7137248.1598806735,13.337297313179677,0.2328629906751042,4660000.0,398000.0,688000.0,158000.0,240923.3890123815,50922.44358670791,,,,,0.114,,,,,,,
13,1995,1995-11-14 09:30:00,1995-11-14 05:30:00,11,14,,b'1995-11-14',1995.8689,-64.66,10.5,1,3,CAR,2,CAR-1,93HG_1,cast 2: Begun at 0530; 14 Nov 1995; end. 0630,Locations for individual casts not recorded,75,75.0,,,,,,,,n.f.,0.015499999999999996,a,1.1284999999999998,,,,,,,,,,,n.f.,,,n.f.,329161271.9869544,43616391.92110611,10.739360113630276,1.4230475440517716,1030000.0,140000.0,229000.0,50000.0,52291.326478823714,52291.326478823714,,,,,0.12,0.05,,,,,,
14,1995,1995-11-14 09:30:00,1995-11-14 05:30:00,11,14,,b'1995-11-14',1995.8689,-64.66,10.5,1,3,CAR,2,CAR-1,93HG_1,cast 2: Begun at 0530; 14 Nov 1995; end. 0630,Locations for individual casts not recorded,100,100.0,,,,,,,,n.f.,0.0195,a,2.565,,0.00744,0.006239999999999999,0.013680000000000001,,,,,,,n.f.,,,n.f.,234394227.75220945,7930151.121702743,7.647448939518664,0.2587325906762511,1030000.0,140000.0,1150000.0,215000.0,31347.418229451912,17111.036151447548,,,,,0.0,0.0,,,,,,
15,1995,1995-11-14 09:30:00,1995-11-14 05:30:00,11,14,,b'1995-11-14',1995.8689,-64.66,10.5,1,3,CAR,2,CAR-1,93HG_1,cast 2: Begun at 0530; 14 Nov 1995; end. 0630,Locations for individual casts not recorded,150,150.0,,,,,,,,n.f.,0.016,a,0.9890000000000001,,0.00528,0.00288,0.008159999999999999,,,,,,,n.f.,,,n.f.,142991693.96366844,13480471.854457213,4.921348742940135,0.4639577403148269,726000.0,155000.0,1220000.0,187000.0,20943.908249371798,14373.27036721594,,,,,0.015,0.011000000000000001,,,,,,
16,1995,1995-11-14 09:30:00,1995-11-14 05:30:00,11,14,,b'1995-11-14',1995.8689,-64.66,10.5,1,3,CAR,2,CAR-1,93HG_1,cast 2: Begun at 0530; 14 Nov 1995; end. 0630,Locations for individual casts not recorded,162,162.0,,,,,,,,n.f.,0.013499999999999998,a,0.7809999999999999,,0.01056,0.00168,0.01224,,,,,,,n.f.,,,n.f.,142430942.22263443,6344345.198058607,4.902049336105075,0.21835348893186152,802000.0,238000.0,840000.0,161000.0,62694.836458903825,34222.072302895096,,,,,0.0,0.0,,,,,,
17,1995,1995-11-14 12:30:00,1995-11-14 08:30:00,11,14,,b'1995-11-14',1995.8689,-64.66,10.5,1,3,CAR,3,CAR-1,93HG_1,cast 3: Begun at 0830; 14 Nov 1995; end. 0945,Locations for individual casts not recorded,220,220.0,,,,,,,,n.f.,0.01,a,0.8075,,0.012,0.00936,0.02136,,,,,,,n.f.,,,n.f.,275329104.847691,10308860.00716894,9.476008756014142,0.3548002952557311,573000.0,85000.0,993000.0,278000.0,10458.265295764742,10458.265295764742,,,,,0.0,0.0,,,,,,
18,1995,1995-11-14 12:30:00,1995-11-14 08:30:00,11,14,,b'1995-11-14',1995.8689,-64.66,10.5,1,3,CAR,3,CAR-1,93HG_1,cast 3: Begun at 0830; 14 Nov 1995; end. 0945,Locations for individual casts not recorded,240,240.0,,,,,,,,n.f.,,n.f.,2.7806,,0.03864,0.00648,0.045120000000000014,,,,,,,n.f.,,,n.f.,360002617.74382406,17446108.167049617,12.390219188108105,0.6004431454523665,1070000.0,159000.0,1050000.0,216000.0,188905.83911198087,50101.11385143843,,,,,0.032,0.033,,,,,,
19,1995,1995-11-14 12:30:00,1995-11-14 08:30:00,11,14,,b'1995-11-14',1995.8689,-64.66,10.5,1,3,CAR,3,CAR-1,93HG_1,cast 3: Begun at 0830; 14 Nov 1995; end. 0945,Locations for individual casts not recorded,250,249.0,,,,,,,4.1,b,0.106,n.f.,4.4,,0.049919999999999985,0.02016,0.07007999999999999,,,,,,,n.f.,,,n.f.,389722460.01862574,46788003.76839438,13.890452292516505,1.6676137530690534,879000.0,151000.0,554000.0,145000.0,125526.56120701926,31894.97138629823,,,,,0.033,,,,,,,
20,1995,1995-11-14 12:30:00,1995-11-14 08:30:00,11,14,,b'1995-11-14',1995.8689,-64.66,10.5,1,3,CAR,3,CAR-1,93HG_1,cast 3: Begun at 0830; 14 Nov 1995; end. 0945,Locations for individual casts not recorded,260,258.0,,,,,,,4.5,b,0.2075,n.f.,2.6886666666666668,,0.0324,0.030240000000000006,0.06264,,,,,,,n.f.,,,n.f.,339254803.3255663,5551442.236236539,12.091688686291347,0.19786399668476745,535000.0,142000.0,974000.0,233000.0,492797.84116168955,76657.44195848503,,,,,0.036000000000000004,,,,,,,
21,1995,1995-11-14 12:30:00,1995-11-14 08:30:00,11,14,,b'1995-11-14',1995.8689,-64.66,10.5,1,3,CAR,3,CAR-1,93HG_1,cast 3: Begun at 0830; 14 Nov 1995; end. 0945,Locations for individual casts not recorded,300,299.0,,,,,,,5.5,b,0.392,n.f.,3.685185185185185,,0.0192,0.00432,0.02352,,,,,,,n.f.,,,n.f.,330843527.2100564,23790453.36510822,11.791894751920486,0.8479371639745398,688000.0,125000.0,153000.0,85000.0,910307.1232570095,160159.29837754904,,,,,0.07,0.08199999999999999,,,,,,
22,1995,1995-11-14 12:30:00,1995-11-14 08:30:00,11,14,,b'1995-11-14',1995.8689,-64.66,10.5,1,3,CAR,3,CAR-1,93HG_1,cast 3: Begun at 0830; 14 Nov 1995; end. 0945,Locations for individual casts not recorded,320,318.0,,,,,,,8.9,b,0.6455,n.f.,,,0.01464,0.00432,0.01896,,,,,,,n.f.,,,n.f.,186169578.023286,9515957.045346877,6.635439080741698,0.3391668710848994,611000.0,173000.0,229000.0,64000.0,574930.8146886377,107183.53045266746,,,,,0.0,0.0,,,,,,
23,1996,1996-11-08 17:52:00,1996-11-08 13:52:00,11,8,,b'1996-11-08',1996.8525,-64.66,10.5,13,2,CAR,1,CAR-13,93HG_13,cast 1:   8 Nov.1996; cast starts down 1352; cast on deck 1424,Locations for individual casts not recorded,220,222.0,,,,,,,,n.f.,0.01,a,0.4,,0.0014,0.013000000000000001,0.0144,,,,,,,n.f.,,,n.f.,319171311.6994325,31713837.340835337,10.984927096630214,1.0914959408116645,99300.0,27800.0,,,75701.17975553218,22776.372397376683,7330.0,2230.0,,,0.0,0.01,0.02,0.03,,,,
24,1996,1996-11-08 17:52:00,1996-11-08 13:52:00,11,8,,b'1996-11-08',1996.8525,-64.66,10.5,13,2,CAR,1,CAR-13,93HG_13,cast 1:   8 Nov.1996; cast starts down 1352; cast on deck 1424,Locations for individual casts not recorded,240,242.0,,,,,,,,n.f.,0.14,n.f.,1.4,,0.0569,0.0125,0.0694,,,,,,,n.f.,,,n.f.,804027094.1218191,23480437.26196463,27.67222080711625,0.8081268023317133,229000.0,37600.0,,,571059.771702343,85713.98114761563,5870.0,1490.0,,,0.31,0.06,0.0,0.0,,,,
25,1996,1996-11-08 17:52:00,1996-11-08 13:52:00,11,8,,b'1996-11-08',1996.8525,-64.66,10.5,13,2,CAR,1,CAR-13,93HG_13,cast 1:   8 Nov.1996; cast starts down 1352; cast on deck 1424,Locations for individual casts not recorded,260,262.0,,,,,,,,n.f.,0.27,n.f.,1.0,274.0,0.0386,0.0139,0.0526,,,,,,,n.f.,,,n.f.,511283980.206416,30799015.109849706,18.223136882194968,1.097735680975164,145000.0,34100.0,,,907753.9723592156,81312.74976648005,815.0,561.0,,,0.53,0.06,13.79,5.47,,,,
26,1996,1996-11-08 17:52:00,1996-11-08 13:52:00,11,8,,b'1996-11-08',1996.8525,-64.66,10.5,13,2,CAR,1,CAR-13,93HG_13,cast 1:   8 Nov.1996; cast starts down 1352; cast on deck 1424,Locations for individual casts not recorded,280,282.0,,,,,,,,n.f.,0.56,n.f.,0.2,,0.0194,0.0043,0.0238,,,,,,,n.f.,,,n.f.,470625214.38483214,40252178.16336793,16.7739808677063,1.4346644543437783,61100.0,23300.0,,,1540430.9833974568,126535.40220764822,2440.0,857.0,,,0.19,0.02,16.05,1.78,,,,
27,1996,1996-11-08 17:52:00,1996-11-08 13:52:00,11,8,,b'1996-11-08',1996.8525,-64.66,10.5,13,2,CAR,1,CAR-13,93HG_13,cast 1:   8 Nov.1996; cast starts down 1352; cast on deck 1424,Locations for individual casts not recorded,300,302.0,,,,,,,,n.f.,0.86,n.f.,0.3,,0.013000000000000001,0.0048,0.0178,,,,,,,n.f.,,,n.f.,366945361.5397935,26834785.44224529,13.078633030760205,0.9564429695625192,138000.0,36600.0,,,764713.9524723091,132036.94143406773,2850.0,1220.0,,,0.08,0.01,22.66,4.72,,,,
28,1996,1996-11-08 17:52:00,1996-11-08 13:52:00,11,8,,b'1996-11-08',1996.8525,-64.66,10.5,13,2,CAR,1,CAR-13,93HG_13,cast 1:   8 Nov.1996; cast starts down 1352; cast on deck 1424,Locations for individual casts not recorded,320,323.0,,,,,,,,n.f.,1.45,n.f.,0.1,,0.0048,0.0022,0.006999999999999999,,,,,,,n.f.,,,n.f.,254117286.38489857,18398091.53426665,9.05722509055416,0.655743096556121,84000.0,25900.0,,,605169.3149061438,75591.14897100379,2040.0,1000.0,,,0.03,0.02,23.06,10.75,,,,
29,1996,1996-11-08 20:50:00,1996-11-08 16:50:00,11,8,,b'1996-11-08',1996.8525,-64.66,10.5,13,2,CAR,2,CAR-13,93HG_13,cast 2:  8 Nov. 1996; cast starts down 1650; cast on deck 1805,Locations for individual casts not recorded,340,342.0,,,,,,,,n.f.,1.66,n.f.,,,0.0058,0.0014,0.0072,,,,,,,n.f.,,,n.f.,258183162.96705693,23582084.176518586,9.202140692003026,0.840510488403426,153000.0,35100.0,,,487436.37546076655,69979.5789600559,2440.0,857.0,,,0.0,0.0,31.47,12.24,,,,
30,1996,1996-11-08 20:50:00,1996-11-08 16:50:00,11,8,,b'1996-11-08',1996.8525,-64.66,10.5,13,2,CAR,2,CAR-13,93HG_13,cast 2:  8 Nov. 1996; cast starts down 1650; cast on deck 1805,Locations for individual casts not recorded,360,363.0,,,,,,,,n.f.,1.97,n.f.,4.5,391.0,0.0046,0.001,0.0055,,,,,,,n.f.,,,n.f.,221590273.72763157,12909158.148352845,7.8979002789632275,0.4601070346001513,91700.0,34000.0,,,773516.4152345802,90005.18174422283,407.0,407.0,,,0.01,0.01,22.83,10.59,,,,
31,1996,1996-11-08 20:50:00,1996-11-08 16:50:00,11,8,,b'1996-11-08',1996.8525,-64.66,10.5,13,2,CAR,2,CAR-13,93HG_13,cast 2:  8 Nov. 1996; cast starts down 1650; cast on deck 1805,Locations for individual casts not recorded,380,384.0,,,,,,,,n.f.,2.2,n.f.,,,0.0038,0.0014,0.0053,,,,,,,n.f.,,,n.f.,199227952.52576047,16060212.49952559,7.100864470994461,0.5724166257230229,122000.0,30600.0,,,529248.0735815547,82082.96525817878,12200.0,5610.0,,,0.0,0.0,13.9,3.89,,,,
32,1996,1996-11-08 20:50:00,1996-11-08 16:50:00,11,8,,b'1996-11-08',1996.8525,-64.66,10.5,13,2,CAR,2,CAR-13,93HG_13,cast 2:  8 Nov. 1996; cast starts down 1650; cast on deck 1805,Locations for individual casts not recorded,500,505.0,,,,,,,,n.f.,4.96,n.f.,3.1,387.0,0.0005,0.001,0.0014,,,,,,,n.f.,,,n.f.,192112668.5069833,10469632.19905782,9.237990220216409,0.5034460278742274,107000.0,31500.0,,,487436.37546076655,60847.02384419955,3910.0,1310.0,,,0.0,0.0,0.39,0.55,,,,
33,1996,1996-11-08 20:50:00,1996-11-08 16:50:00,11,8,,b'1996-11-08',1996.8525,-64.66,10.5,13,2,CAR,2,CAR-13,93HG_13,cast 2:  8 Nov. 1996; cast starts down 1650; cast on deck 1805,Locations for individual casts not recorded,1000,1009.0,,,,,,,,n.f.,10.38,n.f.,,,0.001,0.0005,0.0014,,,,,,,n.f.,,,n.f.,160602124.99525592,11486101.344597414,7.722764311080383,0.5523242830076476,168000.0,34900.0,,,529248.0735815547,49183.76068419024,2850.0,892.0,,,0.0,0.0,0.0,0.0,,,,
34,1996,1996-11-08 20:50:00,1996-11-08 16:50:00,11,8,,b'1996-11-08',1996.8525,-64.66,10.5,13,2,CAR,2,CAR-13,93HG_13,cast 2:  8 Nov. 1996; cast starts down 1650; cast on deck 1805,Locations for individual casts not recorded,1310,1322.0,,,,,,,,n.f.,12.94,n.f.,0.6,,0.0002,0.0,0.0002,,,,,,,n.f.,,,n.f.,161618594.1407955,12604217.404690968,7.771642566213803,0.6060903636544097,84000.0,25900.0,,,454427.14010224974,62277.424043068604,2040.0,809.0,,,0.01,0.02,0.0,0.0,,,,
35,1996,1996-11-09 00:45:00,1996-11-08 20:45:00,11,8,,b'1996-11-08',1996.8525,-64.66,10.5,13,2,CAR,3,CAR-13,93HG_13,cast 3:  8 Nov. 1996; cast starts down 2045; cast on deck 2117,Locations for individual casts not recorded,7,7.0,,,,,,,,n.f.,0.01,a,1.3,399.0,0.146,0.0151,0.161,,,,,,,n.f.,,,n.f.,700347241.2767804,65968847.54551966,22.84983644417605,2.1523285707213717,96800000.0,3300000.0,,,512743.4559022964,66238.53228609066,815.0,561.0,,,5.269999999999991,0.13,2.0,0.62,,,,
36,1996,1996-11-09 00:45:00,1996-11-08 20:45:00,11,8,,b'1996-11-08',1996.8525,-64.66,10.5,13,2,CAR,3,CAR-13,93HG_13,cast 3:  8 Nov. 1996; cast starts down 2045; cast on deck 2117,Locations for individual casts not recorded,15,16.0,,,,,,,,n.f.,0.01,a,1.9,180.0,0.138,0.0384,0.17600000000000002,,,,,,,n.f.,,,n.f.,598700326.722821,22057380.458209194,19.53345960177024,0.7196537748020615,76700000.0,7140000.0,,,521545.9186645676,66678.6554242042,2440.0,875.0,,,6.48,0.84,4.65,0.83,,,,
37,1996,1996-11-09 00:45:00,1996-11-08 20:45:00,11,8,,b'1996-11-08',1996.8525,-64.66,10.5,13,2,CAR,3,CAR-13,93HG_13,cast 3:  8 Nov. 1996; cast starts down 2045; cast on deck 2117,Locations for individual casts not recorded,55,56.0,,,,,,,,n.f.,0.01,a,1.2,246.0,0.0134,0.0058,0.0192,,,,,,,n.f.,,,n.f.,325270126.57267016,72575896.99152702,10.6124058956986,2.36789306547775,22000000.0,1770000.0,,,176049.25524542364,43022.0367506004,416.0,416.0,,,0.17,0.0,1.81,0.65,,,,
38,1996,1996-11-09 00:45:00,1996-11-08 20:45:00,11,8,,b'1996-11-08',1996.8525,-64.66,10.5,13,2,CAR,3,CAR-13,93HG_13,cast 3:  8 Nov. 1996; cast starts down 2045; cast on deck 2117,Locations for individual casts not recorded,100,99.0,,,,,,,,n.f.,0.02,n.f.,1.5,225.0,0.006999999999999999,0.0022,0.0091,,,,,,,n.f.,,,n.f.,202277359.96237925,13925627.293892445,6.599589916387568,0.4543436274095965,2500000.0,455000.0,,,151842.48264917787,29598.28103813685,489.0,489.0,,,0.06,0.01,1.39,0.77,,,,
39,1996,1996-11-09 00:45:00,1996-11-08 20:45:00,11,8,,b'1996-11-08',1996.8525,-64.66,10.5,13,2,CAR,3,CAR-13,93HG_13,cast 3:  8 Nov. 1996; cast starts down 2045; cast on deck 2117,Locations for individual casts not recorded,170,172.0,,,,,,,,n.f.,0.02,n.f.,2.4,240.0,0.0062,0.0041,0.0103,,,,,,,n.f.,,,n.f.,173816223.8872706,18194797.705158737,5.982237367910085,0.6262108121964358,71300.0,29300.0,,,84063.51937968981,22776.372397376683,0.0,0.0,,,0.04,0.01,0.77,0.19,,,,
40,1996,1996-11-09 00:45:00,1996-11-08 20:45:00,11,8,,b'1996-11-08',1996.8525,-64.66,10.5,13,2,CAR,3,CAR-13,93HG_13,cast 3:  8 Nov. 1996; cast starts down 2045; cast on deck 2117,Locations for individual casts not recorded,200,203.0,,,,,,,,n.f.,0.02,n.f.,2.2,175.0,0.0065,0.0041,0.0106,,,,,,,n.f.,,,n.f.,162635063.28633508,11892689.002813255,5.59741508108546,0.4093109778043743,132000.0,53500.0,,,42031.759689844905,16724.679248315246,815.0,561.0,,,0.2,0.02,1.0,0.32,,,,
41,1996,1996-03-12 17:50:00,1996-03-12 13:50:00,3,12,,b'1996-03-12',1996.1967,-64.68,10.48,5,1,CAR,1,CAR-5,93HG_5,cast 1: Begun at 1350 on 12 March 1996; end. 1550,Locations for individual casts not recorded,220,218.0,,,,,,,,n.f.,0.04,n.f.,2.3,284.0,0.0274,0.006999999999999999,0.0343,,,,,,,n.f.,,,n.f.,293574933.4987292,13203462.370304905,10.103975901563892,0.4544238979018413,191000.0,51800.0,458000.0,106000.0,121868.33583401312,34199.70052724138,968.0,160.0,,,0.15,0.14,,,,,,
42,1996,1996-03-12 17:50:00,1996-03-12 13:50:00,3,12,,b'1996-03-12',1996.1967,-64.68,10.48,5,1,CAR,1,CAR-5,93HG_5,cast 1: Begun at 1350 on 12 March 1996; end. 1550,Locations for individual casts not recorded,250,249.0,,,,,,,,n.f.,0.26,n.f.,2.6,334.0,0.0127,0.001,0.0137,,,,,,,n.f.,,,n.f.,244007016.09337375,44726613.80227986,8.397995636199754,1.5393569969717689,,,565000.0,74000.0,1786551.5200797734,190140.12606563306,1580.0,221.0,,,0.0,0.0,,,,,,
43,1996,1996-03-12 17:50:00,1996-03-12 13:50:00,3,12,,b'1996-03-12',1996.1967,-64.68,10.48,5,1,CAR,1,CAR-5,93HG_5,cast 1: Begun at 1350 on 12 March 1996; end. 1550,Locations for individual casts not recorded,270,267.0,,,,,,,,n.f.,0.58,n.f.,1.3,,0.0,0.0014,0.0014,,,,,,,n.f.,,,n.f.,232764808.022056,27971635.70035412,8.296182008736702,0.9969624825339836,229000.0,58100.0,596000.0,90000.0,986431.6607297608,94304.39809563947,1880.0,364.0,,,0.02,0.03,,,,,,
