time,10m_u_component_of_wind,10m_v_component_of_neutral_wind,10m_v_component_of_wind,10m_wind_speed,2m_temperature,benjamin_feir_index,coefficient_of_drag_with_waves,instantaneous_eastward_turbulent_surface_stress,instantaneous_northward_turbulent_surface_stress,lake_mix_layer_depth,lake_mix_layer_temperature,mean_wave_period,medium_cloud_cover,sea_surface_temperature,surface_pressure,v_component_stokes_drift
1982-11-01,-5.414118,-2.5779276,-2.511241,6.2554445,299.33154,0.060059547,0.00090376684,-0.06038797,-0.025283635,49.26066,299.95886,4.7381153,0.07361502,299.9447,101004.19,-0.026051696
1982-12-01,-6.2354,-3.378231,-3.3336315,7.256666,298.10315,0.059962273,0.0009798633,-0.07690847,-0.038975775,49.260696,298.58557,5.001298,0.19004554,298.5545,101117.375,-0.036490418
1983-01-01,-6.501889,-3.1154957,-3.1179972,7.42962,297.8933,0.068740845,0.0009786764,-0.08046901,-0.035655677,49.260777,297.8011,4.6889324,0.13155812,297.79788,101129.25,-0.03319896
1983-02-01,-6.4305,-3.1896124,-3.2068567,7.4924736,297.82068,0.083566666,0.0009859661,-0.083597064,-0.038697004,49.260696,297.64447,5.1404886,0.06749575,297.6501,101118.625,-0.03658629
1983-03-01,-6.197606,-3.2374897,-3.262601,7.338849,298.208,0.09861946,0.00097282743,-0.07965481,-0.03880346,49.26066,297.93292,4.859249,0.034844324,297.93207,101029.875,-0.036531564
1983-04-01,-5.553438,-3.0641804,-3.0697327,6.6742783,298.75684,0.07852936,0.000932927,-0.06590396,-0.03396052,49.260933,298.60895,4.630619,0.12214796,298.63217,101005.125,-0.031990036
1983-05-01,-4.702114,-2.131278,-2.1118488,5.4192133,299.31445,0.05187893,0.0008443312,-0.04300672,-0.017107543,49.26117,299.41284,4.198765,0.35409755,299.4093,101029.625,-0.019190725
1983-06-01,-3.9805489,-1.5519333,-1.5338917,4.8581524,299.40845,0.04225731,0.0008124898,-0.03525901,-0.012175299,49.261208,299.54877,4.226925,0.17037004,299.54916,101189.56,-0.0141501315
1983-07-01,-4.4937677,-2.1097803,-2.0977678,5.270295,299.18408,0.0401659,0.0008413729,-0.040354073,-0.016688086,49.26062,299.14777,4.271022,0.11433703,299.13522,101212.875,-0.019007735
1983-08-01,-4.149065,-1.8977108,-1.8570833,5.0284147,299.4093,0.046548843,0.000831845,-0.03663534,-0.014970355,49.261364,299.6859,4.0819254,0.10601728,299.70584,101322.875,-0.017194778
1983-09-01,-4.745619,-2.048503,-1.985982,5.5598965,300.25305,0.055825233,0.00086534116,-0.047752023,-0.01882286,49.261208,300.9679,4.41189,0.09138815,300.99185,101172.44,-0.020746645
1983-10-01,-4.5389194,-1.8724346,-1.7936802,5.2634487,300.05444,0.045677185,0.0008459699,-0.044634283,-0.015561268,49.260933,301.01562,4.9436665,0.056650274,301.0036,101076.69,-0.018674888
1983-11-01,-5.5205917,-2.6114225,-2.5695667,6.350151,299.3236,0.06726551,0.00090852496,-0.05977899,-0.025934696,49.261322,299.65558,4.754817,0.055738132,299.62363,101170.56,-0.026545998
1983-12-01,-5.9184914,-3.149105,-3.1132898,6.877022,298.29224,0.06291485,0.0009549011,-0.065550506,-0.033111155,49.260777,298.55127,4.8141956,0.065867335,298.54465,101255.0,-0.032511834
1984-01-01,-6.0732565,-3.4529514,-3.4042788,7.2149763,297.6947,0.07352638,0.0009860098,-0.071680605,-0.038615286,49.261208,298.14465,4.5964975,0.06899369,298.13687,101206.5,-0.03719349
1984-02-01,-6.829777,-3.6424427,-3.649557,7.9725704,297.39404,0.09452534,0.0010272849,-0.093542755,-0.047522068,49.2605,297.27783,4.5236864,0.08216509,297.25818,101094.19,-0.040812057
1984-03-01,-6.5706873,-3.8626804,-3.8853598,7.9078474,297.24084,0.10370731,0.0010318677,-0.08865911,-0.049434245,49.260857,296.9798,4.469036,0.09316891,296.99374,101141.69,-0.04314753
1984-04-01,-6.1261787,-3.3170738,-3.3570032,7.2653627,297.64258,0.10342121,0.0009663312,-0.07910049,-0.039317727,49.260582,297.18707,4.6770163,0.11684568,297.19363,101115.875,-0.035647493
1984-05-01,-6.3315086,-3.757887,-3.7609673,7.582099,298.08203,0.10264301,0.0010003122,-0.08073002,-0.045507073,49.260933,297.95728,4.249736,0.11614178,297.96448,101149.75,-0.039480116
1984-06-01,-5.6505404,-2.8425303,-2.8146992,6.578388,298.83203,0.075242996,0.000921641,-0.06453937,-0.029764533,49.260895,298.99573,4.2482386,0.10702009,299.005,101204.06,-0.028338552
1984-07-01,-4.4395256,-2.212551,-2.184269,5.4629087,298.5796,0.041477203,0.0008623309,-0.041501164,-0.019241728,49.260895,298.78668,4.2521,0.13335907,298.7876,101221.0,-0.020562697
1984-08-01,-4.349551,-1.8709726,-1.8363199,5.3221693,299.07947,0.046038628,0.0008487273,-0.042274773,-0.017164785,49.260696,299.4834,4.1590204,0.12613213,299.47885,101220.125,-0.019150075
1984-09-01,-3.4591007,-1.1692085,-1.1310968,4.469514,299.6266,0.049303055,0.0007987227,-0.030131042,-0.009257201,49.261127,300.25806,4.2162905,0.09620165,300.30075,101102.69,-0.011869054
1984-10-01,-4.971198,-2.0634642,-1.9924526,5.663988,299.8485,0.053536415,0.0008713873,-0.049937844,-0.018665783,49.26082,300.87976,4.7098646,0.08736886,300.8544,101022.19,-0.021455783
1984-11-01,-2.9078236,-1.7791386,-1.6991205,4.9116335,299.22522,0.038466454,0.00083798193,-0.035152733,-0.016154349,49.261208,300.54285,5.489852,0.13296092,300.54034,101026.31,-0.020242598
1984-12-01,-6.493948,-3.5189228,-3.4278297,7.5618887,298.24304,0.06373596,0.0010174222,-0.085860014,-0.042557538,49.260506,299.40576,4.919057,0.15018511,299.38464,101127.875,-0.04104392
1985-01-01,-6.494425,-3.736106,-3.668604,7.721977,297.55676,0.096432686,0.0010346512,-0.08379358,-0.045955062,49.261208,298.30005,4.589636,0.11086601,298.30075,101289.875,-0.041964874
1985-02-01,-7.5442944,-3.6711235,-3.6475077,8.64743,297.44946,0.104813576,0.001092792,-0.11518729,-0.05434239,49.261166,297.73486,4.7308865,0.12106985,297.7185,101297.5,-0.04471588
1985-03-01,-7.0841694,-3.9333057,-3.9299154,8.323576,297.45264,0.10599995,0.0010666244,-0.099220276,-0.05338651,49.260582,297.47003,4.47875,0.14544499,297.4783,101152.625,-0.045298364
1985-04-01,-5.9594784,-3.2143955,-3.2172623,7.13997,297.80725,0.086063385,0.0009706775,-0.081495285,-0.04033065,49.26101,297.71973,4.6181307,0.13795835,297.72287,101085.0,-0.03558791
1985-05-01,-5.7223606,-2.9137888,-2.898611,6.6804934,298.7456,0.07700062,0.00092896656,-0.0662877,-0.031430304,49.261246,298.7929,4.2165775,0.08410745,298.79935,101127.44,-0.029258564
1985-06-01,-5.052412,-2.4374056,-2.4290943,6.1865406,298.57117,0.06585598,0.00089961244,-0.055903137,-0.025735676,49.261322,298.69263,4.218912,0.15905696,298.70544,101347.625,-0.02451957
1985-07-01,-4.3283253,-1.8916588,-1.852274,5.208194,298.90198,0.045218468,0.00084865047,-0.041897476,-0.016983178,49.26109,299.43433,4.257539,0.109101,299.44745,101297.94,-0.018902104
1985-08-01,-3.8336916,-1.5793715,-1.5266867,4.7336187,299.3982,0.041974068,0.0008209697,-0.033902645,-0.012958411,49.261402,300.19196,4.195096,0.11166698,300.18713,101229.19,-0.0156882
1985-09-01,-3.7908125,-1.7478762,-1.6806297,4.6985636,299.8789,0.043011665,0.0008176912,-0.032186568,-0.013012994,49.260853,300.66754,4.651414,0.10215163,300.6812,101062.94,-0.016152833
1985-10-01,-4.4700155,-1.9255838,-1.859231,5.3274527,299.52722,0.053455353,0.00085680955,-0.047304094,-0.017918095,49.261402,300.4043,4.6422873,0.09224615,300.39304,100996.94,-0.019820273
1985-11-01,-4.001177,-2.3249588,-2.2154608,5.091408,299.03333,0.023478508,0.0008536582,-0.038208008,-0.019334853,49.26136,300.51013,5.6981335,0.16531014,300.4983,101022.69,-0.022677954
1985-12-01,-6.8853846,-3.213439,-3.1761503,7.7595186,297.89893,0.069099426,0.00102207,-0.08849722,-0.03952843,49.260735,298.42273,4.754882,0.19336641,298.39432,101231.56,-0.036805574
1986-01-01,-6.5690002,-3.5420027,-3.5565643,7.678837,296.9253,0.08237362,0.0010159307,-0.0830732,-0.043424845,49.260468,296.8012,4.4941597,0.11844069,296.79272,101277.06,-0.03776805
1986-02-01,-6.4755707,-3.680356,-3.6747866,7.69302,297.05383,0.10251045,0.0010249643,-0.08350766,-0.045774102,49.260933,297.12018,4.4389257,0.11251438,297.12476,101241.81,-0.040424563
1986-03-01,-7.0294085,-3.8137074,-3.8004627,8.220605,297.74072,0.10313797,0.0010545189,-0.098721564,-0.051645935,49.261326,297.86304,4.558181,0.1106505,297.8719,101228.06,-0.04402274
1986-04-01,-6.1968193,-3.041915,-3.0717745,7.214632,298.5094,0.09795475,0.00095316884,-0.079585075,-0.035497963,49.260464,298.19238,4.578186,0.05603174,298.20444,100994.56,-0.033267174
1986-05-01,-4.977132,-2.5609894,-2.5255556,5.9691877,299.0437,0.07467365,0.0008856638,-0.054281533,-0.024977088,49.260857,299.2298,4.4339447,0.18238616,299.2454,101079.31,-0.024625681
1986-06-01,-5.337386,-2.4315376,-2.4033337,6.249914,298.94373,0.05889988,0.0009120533,-0.060114205,-0.025654003,49.26109,299.2942,4.3358316,0.17274714,299.27676,101267.56,-0.024534676
1986-07-01,-4.774847,-2.2372084,-2.2057333,5.6466703,298.77026,0.048770905,0.00087532494,-0.047037423,-0.020380475,49.261166,299.06018,4.136526,0.1354295,299.07166,101438.25,-0.021178782
1986-08-01,-5.1842117,-2.564497,-2.5148916,6.0449696,299.32324,0.05068493,0.0008986115,-0.05320096,-0.023830436,49.26054,299.70593,4.401491,0.12835212,299.71808,101166.69,-0.024406653
1986-09-01,-4.6802692,-2.026887,-1.975029,5.546069,299.6941,0.05263424,0.00086325966,-0.045971155,-0.017806906,49.260777,300.3028,4.3591805,0.08329136,300.30338,101167.31,-0.019662015
1986-10-01,-4.355855,-1.9452896,-1.8918772,5.281642,299.49402,0.053884506,0.00085502816,-0.042027175,-0.01792565,49.260544,300.2591,4.6283092,0.121910095,300.26373,101118.69,-0.019605462
1986-11-01,-5.0089064,-2.3460035,-2.269927,5.821932,299.08008,0.049661636,0.0008884687,-0.051048458,-0.021229148,49.26109,300.05054,4.871517,0.11955732,300.03186,101001.875,-0.02324656
1986-12-01,-6.6282225,-3.2508202,-3.2199297,7.56513,297.99817,0.0758791,0.0010042056,-0.0842939,-0.039053977,49.260464,298.33447,4.6057816,0.09665269,298.30252,101232.31,-0.03503617
1987-01-01,-6.056632,-3.0896482,-3.085065,7.233246,297.33923,0.082704544,0.0009802887,-0.078836024,-0.037260234,49.260582,297.2539,4.84503,0.090097114,297.2562,101262.375,-0.033949602
1987-02-01,-6.626549,-3.1777534,-3.1833668,7.6592674,297.8075,0.10490799,0.0009984144,-0.09187204,-0.04119724,49.26066,297.70264,4.8063526,0.060388755,297.71368,101148.19,-0.036723968
1987-03-01,-5.4366055,-3.2367134,-3.214507,6.713708,298.2307,0.07979107,0.0009410677,-0.064722,-0.034927785,49.26101,298.2744,4.9868155,0.028396167,298.29074,101005.375,-0.03484823
1987-04-01,-6.3801365,-3.2183008,-3.2373953,7.462187,299.0172,0.103248596,0.0009720428,-0.08597851,-0.039075613,49.261246,298.78833,4.6610165,0.04176717,298.77383,101003.19,-0.035440616
1987-05-01,-3.5843744,-1.4191341,-1.4150591,5.0994577,299.62695,0.07650566,0.0008294906,-0.037506938,-0.014243774,49.260895,299.92365,4.240039,0.14695,299.98035,101017.94,-0.014779318
1987-06-01,-4.349351,-1.570981,-1.525732,5.2949295,300.14685,0.053256035,0.0008501201,-0.0466097,-0.015376952,49.26097,300.9502,4.2861605,0.12157536,300.92752,101255.625,-0.0168016
1987-07-01,-5.34741,-2.5469198,-2.499628,6.1248617,299.44226,0.0488863,0.00089862756,-0.054612756,-0.023466583,49.26062,299.79144,4.217183,0.17722833,299.7865,101142.375,-0.02389596
1987-08-01,-3.903038,-1.6436682,-1.592948,4.848075,300.0725,0.043831825,0.0008234163,-0.03615725,-0.013454009,49.261246,300.7547,4.4279556,0.112743735,300.75696,101148.0,-0.016395297
1987-09-01,-3.9043894,-1.6062584,-1.5546522,4.674962,300.22424,0.048926353,0.0008147834,-0.034056485,-0.012699351,49.261364,300.7199,4.243413,0.07517632,300.7272,101117.75,-0.01544597
1987-10-01,-4.2493258,-1.811595,-1.7431421,5.072339,300.6057,0.063191414,0.00083999056,-0.039202154,-0.014967874,49.26117,301.50305,4.3169174,0.07600476,301.51117,100954.875,-0.01764194
1987-11-01,-4.5464287,-2.2159214,-2.1405926,5.625806,300.26147,0.059246063,0.0008805392,-0.04952413,-0.021535516,49.260544,301.25378,5.07382,0.10105288,301.24292,100973.75,-0.023112375
1987-12-01,-6.396083,-2.8902578,-2.8331413,7.2269287,299.59387,0.08292389,0.0009820452,-0.082387626,-0.035739303,49.260933,300.3269,4.7368193,0.09545338,300.30438,101154.06,-0.03309404
1988-01-01,-6.857012,-3.6749125,-3.6311798,8.019802,298.12463,0.07765961,0.0010494608,-0.093432546,-0.048048496,49.261013,298.56885,5.0113897,0.09102559,298.55875,101280.5,-0.043477107
1988-02-01,-6.824394,-3.9388866,-3.9205294,8.131351,297.72217,0.088355064,0.001058842,-0.09574872,-0.052848518,49.260582,297.85162,4.7697077,0.1025967,297.84488,101137.875,-0.045232896
1988-03-01,-7.230732,-4.039525,-4.013256,8.590116,298.09802,0.11559296,0.001095973,-0.11194527,-0.05946815,49.260933,298.3202,4.787364,0.055979636,298.3265,101271.19,-0.048983507
1988-04-01,-6.402669,-3.586712,-3.584753,7.6303816,298.48193,0.112449646,0.0009949573,-0.0864898,-0.044966638,49.260582,298.38513,4.804141,0.060452737,298.38788,101068.19,-0.040279828
1988-05-01,-6.1016235,-3.178255,-3.1639156,7.1864233,299.4347,0.10121918,0.00096368627,-0.07831645,-0.036952257,49.26062,299.33374,4.322363,0.07805531,299.35242,101131.19,-0.03378931
1988-06-01,-3.9367914,-1.760356,-1.7100945,4.944252,299.64087,0.056447983,0.0008302096,-0.037320733,-0.015150424,49.260933,300.19794,4.0376453,0.13275783,300.20236,101235.375,-0.017155614
1988-07-01,-3.5042028,-1.3595238,-1.3215189,4.676697,299.49243,0.04242134,0.00081572006,-0.030944467,-0.011310469,49.26074,300.27783,4.2561026,0.13670456,300.28613,101333.31,-0.013309747
1988-08-01,-2.7047176,-0.710533,-0.68042684,3.8330822,300.10376,0.030363083,0.0007707521,-0.020667017,-0.0052580237,49.260777,301.51562,4.352889,0.14606225,301.53354,101136.5,-0.008295208
1988-09-01,-3.1736212,-1.0864124,-1.0417347,4.3624945,300.23572,0.052254677,0.0008033309,-0.027301908,-0.008531328,49.26062,301.3363,4.222989,0.10254681,301.3192,101113.625,-0.010856286
1988-10-01,-3.0737734,-1.5174208,-1.4322147,4.035265,299.95178,0.028216362,0.0007838493,-0.023456693,-0.009687185,49.26066,301.15076,4.943594,0.12588716,301.15125,100934.44,-0.013436973
1988-11-01,-5.3008833,-2.2318163,-2.1660213,5.9668694,299.32153,0.05213642,0.00089192507,-0.055458307,-0.021342576,49.261402,300.1753,4.7291565,0.10391861,300.15356,101067.44,-0.022934414
1988-12-01,-6.7253513,-3.4690428,-3.417077,7.724272,298.10547,0.07485294,0.0010205817,-0.08482987,-0.041781485,49.261127,298.72388,4.619378,0.1310898,298.69955,101188.69,-0.038948916
1989-01-01,-6.697817,-3.5280142,-3.5336695,7.7689657,297.14355,0.07406044,0.0010290134,-0.084681034,-0.043664277,49.26117,297.0479,4.801239,0.13908082,297.03125,101270.81,-0.039823357
1989-02-01,-6.5653067,-3.6186457,-3.6311178,7.7431173,296.85938,0.07757282,0.0010294041,-0.086739,-0.046075165,49.261364,296.74457,4.821307,0.12386656,296.74423,101349.75,-0.041997172
1989-03-01,-6.2907104,-3.7968435,-3.8071995,7.629589,297.0177,0.08963585,0.0010223377,-0.08101982,-0.046271384,49.260696,296.90192,4.4611206,0.0974882,296.90845,101211.5,-0.041338515
1989-04-01,-6.6191263,-3.6193247,-3.660675,7.8385954,297.4613,0.1037817,0.0010134568,-0.09167498,-0.046937823,49.260857,297.08417,4.5412188,0.06750202,297.07516,101126.375,-0.039911237
1989-05-01,-6.2543507,-3.282919,-3.324646,7.333026,297.7284,0.08920479,0.0009748542,-0.080690086,-0.040303946,49.260815,297.31207,4.2586384,0.15956324,297.3338,101271.81,-0.03478479
1989-06-01,-5.9705763,-3.2025394,-3.201457,6.99932,298.4419,0.07231617,0.00096228207,-0.06950003,-0.034890473,49.260933,298.325,4.1512175,0.13250938,298.33658,101322.625,-0.03189175
1989-07-01,-4.1318083,-1.902731,-1.8836031,5.2113714,298.8651,0.045018196,0.00084638735,-0.03669387,-0.01547138,49.260544,299.0042,4.154601,0.1741721,299.0044,101341.44,-0.017184567
1989-08-01,-2.7826576,-1.2851734,-1.2423592,3.860917,299.73108,0.04026699,0.0007685616,-0.0202955,-0.00827856,49.26109,300.14783,3.9743633,0.09001388,300.16592,101163.5,-0.011630032
1989-09-01,-2.8732042,-0.82434267,-0.78236806,4.2427874,300.27185,0.043787956,0.00078950264,-0.023331523,-0.0054136254,49.260857,301.0243,5.2479362,0.10033584,301.03195,100995.625,-0.0093033835
1989-10-01,-4.478264,-2.1440687,-2.078681,5.304658,299.79016,0.057444572,0.0008507939,-0.040343463,-0.017576396,49.261127,300.43292,4.6785316,0.07102544,300.43384,101096.5,-0.01957732
1989-11-01,-5.764511,-2.9363022,-2.8688812,6.622422,299.41248,0.06281948,0.0009392658,-0.06267667,-0.029611945,49.2607,300.10327,4.561988,0.15765446,300.08694,100980.875,-0.029562347
1989-12-01,-6.287779,-3.1627388,-3.1163092,7.2600546,298.49414,0.0821476,0.0009865467,-0.07744819,-0.037041545,49.2607,298.87573,4.7086706,0.086423695,298.84842,101243.5,-0.03457327
