"","time_month","time.x","X10m_u_component_of_wind","X10m_v_component_of_neutral_wind","X10m_v_component_of_wind","X10m_wind_speed","X2m_temperature","benjamin_feir_index","coefficient_of_drag_with_waves","instantaneous_eastward_turbulent_surface_stress","instantaneous_northward_turbulent_surface_stress","lake_mix_layer_depth","lake_mix_layer_temperature","mean_wave_period","medium_cloud_cover","sea_surface_temperature","surface_pressure","v_component_stokes_drift","time.y","clear_sky_direct_solar_radiation_at_surface","evaporation","instantaneous_10m_wind_gust","instantaneous_large_scale_surface_precipitation_fraction","large_scale_precipitation","mean_evaporation_rate","mean_runoff_rate","mean_total_precipitation_rate","northward_turbulent_surface_stress","runoff","sub_surface_runoff","surface_runoff","surface_sensible_heat_flux","total_precipitation","O2_ml_L","O2_umol_kg","NO3_UDO","PO4_UDO","SiO4_UDO","NH4_USF","NO2_USF","NO3_NO2_USF","PO4_USF","SiO4_USF","pH","Alkalinity_mol_kg","Alkalinity_umol_kg","TCO2","fCO2","pH_corrected","TCO2_corrected","fCO2_corrected","Salinity_bottles","Salinity_CTD","Temperature","Sigma_t","TPP","PIP","POC_ug_kg","PON_ug_kg","POC_ug_L","PN_ug_L","C_N_particulate","DON","DOP","DOC","TOC","PrimaryProductivity","Chlorophyll","Phaeopigments","Total_Prokaryotes","Bact_Biomass_mgC_m3","Bact_Biomass_uMC"
"13","01-1991",1991-01-03 07:33:20,-7.4602003,-3.632738,-3.6150675,8.522613,297.77844,0.09165573,0.0010895501,-0.108608544,-0.052012324,49.260895,297.91467,4.6783495,0.11869931,297.87885,101348.06,-0.044382066,1991-01-03 01:33:20,18758336,-0.0029821172,11.205973,0.06680298,3.931088e-05,-3.451643e-05,0,8.5680847e-07,-4708.074,0,0,0,12217,7.447973e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","01-1992",1992-01-03 07:33:20,-6.259573,-3.2690868,-3.2706861,7.3258095,297.51758,0.07231331,0.0009877584,-0.07630485,-0.038324177,49.260582,297.46576,4.959586,0.076838866,297.44595,101202.5,-0.03618564,1992-01-03 01:33:20,17052168,-0.0019431536,9.53053,0.08598328,6.551111e-05,-2.249096e-05,0,9.879891e-07,-3457.0977,0,0,0,174150,8.59994e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","01-1993",1993-01-03 07:33:20,-6.8908396,-3.5125008,-3.486886,7.9881897,297.9192,0.08903408,0.0010333075,-0.09549528,-0.046194434,49.260544,298.2002,4.9455633,0.082571715,298.17932,101266.5,-0.04100347,1993-01-03 01:33:20,18160000,-0.0029140727,10.525858,0.06251526,2.9632452e-05,-3.372696e-05,0,5.2308025e-07,-4228.7344,0,0,0,-149936,4.606931e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","01-1994",1994-01-03 07:33:20,-6.834008,-3.7269306,-3.701787,8.007726,297.6754,0.08699608,0.0010490862,-0.09048414,-0.04798466,49.2607,297.92554,4.7361946,0.09075634,297.91855,101258.5,-0.04310685,1994-01-03 01:33:20,18570448,-0.0027038495,10.584319,0.06968689,3.697566e-05,-3.129714e-05,0,1.0114886e-06,-4371.035,0,0,0,-119683,8.719973e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","01-1995",1995-01-03 07:33:20,-6.2860136,-3.4615278,-3.4167395,7.43769,298.1316,0.090195656,0.0009935799,-0.08002859,-0.041638076,49.260582,298.51904,4.901327,0.09274626,298.49933,101289.5,-0.039028484,1995-01-03 01:33:20,18722576,-0.002989743,10.032705,0.057128906,6.0180726e-05,-3.4602548e-05,0,1.2733913e-06,-3942.2773,0,0,0,-212900,0.000108349544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","01-1996",1996-01-03 07:33:20,-5.860445,-3.3858147,-3.3308039,7.016142,298.0664,0.06342983,0.0009792743,-0.06814271,-0.037200868,49.260857,298.53552,5.239093,0.07638367,298.53207,101168.81,-0.03755806,1996-01-03 01:33:20,18737568,-0.0029667914,9.613052,0.07296753,6.571367e-05,-3.433753e-05,0,1.6709e-06,-3556.2266,0,0,0,-272642,0.0001433546,3.40526448792255,148.311868740755,7.51162656279949,0.303837953469532,4.86813498392446,NA,NA,NA,NA,NA,7.98368984343977,0.00241554044081343,2415.54044081343,2127.09614056787,444.546887746061,7.9888971640501,2123.99993772671,438.124904588311,36.8845515979704,NA,22.633137157468,25.4656447395545,NA,NA,82.0098410365741,14.4776692090978,5.68367651312263,80.0330124558872,14.1286876042198,NA,NA,81.5256722976272,NA,2.05693107572602,0.5825761693729,0.345171119287581,3.04290520840144,9.92894748972587,0.827411865805819
"19","01-1997",1997-01-03 07:33:20,-6.1938715,-3.5948105,-3.5514908,7.371395,297.9192,0.07201481,0.0010032351,-0.07339442,-0.040935636,49.261208,298.29626,4.729517,0.09208673,298.29294,101235.19,-0.03986439,1997-01-03 01:33:20,18581408,-0.0028260648,9.932076,0.119140625,9.185074e-05,-3.270655e-05,0,2.0668685e-06,-3835.1406,0,0,0,-245680,0.00017991726,3.37359714360532,146.91822970368,7.61598853485071,0.404128080476254,3.94336770977655,NA,NA,NA,NA,NA,7.97836999899451,0.00238686018395646,2386.86018395646,2103.93302038096,436.356118112964,7.98490105771357,2100.13772318968,428.509790414655,36.8155356048206,36.8140898240957,22.0723466408914,25.5699668838232,NA,NA,120.696174207216,18.2834122144768,7.76022691245347,117.786919426315,17.8426795299637,NA,NA,3150.63022914706,NA,3.66714088931905,1.24000038628481,0.875099333139756,3.13878010986821,10.2406226151524,0.853384996897666
"20","01-1998",1998-01-03 07:33:20,-5.9208927,-3.1272478,-3.1672802,7.0151987,297.8181,0.08029938,0.00095003773,-0.07130778,-0.034723938,49.261402,297.39197,4.9005356,0.06420036,297.3837,101128.56,-0.033493675,1998-01-03 01:33:20,18752416,-0.0013690782,9.369957,0.050247192,1.2052838e-05,-1.5844169e-05,0,2.0035452e-07,-3298.414,0,0,0,488432,1.4933648e-05,3.65473165,159.11572,NA,0.38355,NA,NA,NA,NA,NA,NA,7.987732,0.002413211,2413.211,2122.204,434.081,7.9934154,2118.8288,427.242325,36.88783,NA,22.32685,NA,NA,NA,79.6189725,11.2464966,9.57202015,77.6997555,10.9753985,NA,NA,1163.24086,NA,1.112554425,0.432357509,0.42485,5.74236914893617,18.1881856382979,1.51568829787234
"21","01-1999",1999-01-03 07:33:20,-6.465353,-3.5007524,-3.4946918,7.5529137,297.79224,0.05930519,0.0010119681,-0.07741076,-0.040699303,49.260506,297.75934,4.7876673,0.14983213,297.74255,101202.375,-0.039160416,1999-01-03 01:33:20,18534080,-0.0023196414,10.074941,0.13980103,0.00011266452,-2.6849186e-05,0,1.9549307e-06,-3822.3242,0,0,0,152977,0.00016912386,3.36683142341887,146.624736384656,NA,NA,NA,0.257045963299522,0.0875719560390604,5.38595857956428,0.406037596020049,2.21980082966143,7.94459995125044,0.00242155324736322,2421.55324736322,2155.00515380784,490.026155162299,7.95498212197149,2148.72198179808,476.100009963207,36.8350309078923,36.8359127027549,22.1101197942764,25.576553737195,NA,NA,91.4161175609153,10.0534964767951,8.16059519147615,89.2126184556847,9.8111579078332,NA,NA,227.799296004459,NA,1.40409534281319,0.455259658769086,0.40421186545505,3.37719349543512,11.0185982287332,0.918247764530915
"22","01-2000",2000-01-03 07:33:20,-6.642475,-3.535841,-3.4868393,7.67809,297.56702,0.055217743,0.0010225377,-0.08337581,-0.04320115,49.26109,298.21863,5.1757803,0.13844925,298.18195,101233.875,-0.043040812,2000-01-03 01:33:20,18552192,-0.0033158697,10.455962,0.18157959,0.0003547367,-3.8378013e-05,0,8.5548445e-06,-4019.9531,0,0,0,-551916,0.000739909,3.50171520403938,152.535549403125,NA,NA,NA,0.116433693036878,0.0526069536875192,4.97263461456773,0.400555321640114,4.22583932351997,7.97601644078157,0.00241829857754606,2418.29857754606,2134.57236339549,456.565642465897,7.98169044311745,2131.25693818353,449.415097128597,36.7703328014646,36.7754224722694,22.7148348946246,25.3523068157306,NA,NA,90.7063698582692,12.9965230388395,9.09899744791114,88.5199477710419,12.683255454792,NA,NA,122.864287652398,105.640330518406,2.75299506489093,0.324803346210708,0.283490462124956,0.477829691201275,1.55898090760283,0.129911356848272
"23","01-2001",2001-01-03 07:33:20,-6.4110584,-3.4140959,-3.4203005,7.537341,297.21472,0.09802723,0.0010038698,-0.08151984,-0.042192698,49.260544,297.09143,4.6964197,0.06828733,297.065,101355.125,-0.038231738,2001-01-03 01:33:20,18915808,-0.0020916164,9.984929,0.04373169,1.6244689e-05,-2.4208653e-05,0,3.4213792e-07,-3897.7812,0,0,0,262932,2.9079187e-05,3.67895960730347,160.20887374547,NA,NA,NA,0.0711821777034634,0.107637645563581,4.95390540319337,0.305117129031203,1.67629234003318,7.981316667466,0.0023941454760633,2394.1454760633,2108.53930193074,435.286487784252,7.98737931262583,2104.98756900625,428.00341814785,36.843415960318,36.911207385783,22.1468906547734,25.6247390875547,NA,NA,127.683212340389,17.8207116611122,7.99095001270192,124.605563415947,17.3911503100461,NA,NA,NA,NA,2.01351960931175,1.19834320151224,0.841365110836767,2.80565408942245,9.15381273199729,0.762812803303176
"24","01-2002",2002-01-03 07:33:20,-6.60081,-3.391654,-3.400176,7.614999,297.953,0.06477642,0.0010138585,-0.081502914,-0.04120046,49.26113,297.84985,4.8594294,0.13976741,297.83356,101299.875,-0.038764518,2002-01-03 01:33:20,18575632,-0.0020678006,10.1999,0.13218689,0.00071303116,-2.3931178e-05,0,9.890002e-06,-3858.7344,0,0,0,225173,0.00085486146,3.94333145809803,171.778346565966,NA,NA,NA,0.114589145735351,0.0652999130862473,3.38158975429589,0.174493907007358,1.97396506016117,NA,NA,NA,NA,NA,NA,NA,NA,36.8526312432618,36.8527794207928,23.1751114155872,25.2848515420345,NA,NA,149.95383814706,19.2056263969001,9.39965651124311,146.339252125573,18.7426757047741,NA,NA,NA,NA,0.953793205200347,0.574848648359787,0.728161727842579,NA,NA,NA
"25","01-2003",2003-01-03 07:33:20,-6.3525524,-3.2526064,-3.2808313,7.438613,297.65442,0.092113495,0.000980394,-0.08000612,-0.03902048,49.260895,297.3272,4.815091,0.071519345,297.33716,101259.31,-0.03628933,2003-01-03 01:33:20,18829712,-0.001810269,9.851255,0.03666687,8.849089e-06,-2.0949316e-05,0,1.5634481e-07,-3646.3594,0,0,0,432880,1.2030123e-05,3.59093957906381,156.35954967182,4.4506844504493,0.0809765050474937,3.28387258995654,0.128788362530888,0.19485215215844,5.25608882751928,0.322371688735821,2.74264475768763,7.96726866263655,0.00240747565180655,2407.47565180655,2129.15603071362,444.091652042983,7.97268236631281,2126.03417350948,437.492829680504,36.8079392576887,36.8035047817541,21.448543259496,25.7384831203589,NA,NA,144.740876220809,19.2152853929023,8.52290209455873,141.251962128725,18.7521028283669,NA,NA,NA,NA,1.78569228734061,0.919006096370317,0.595794330125226,NA,NA,NA
"26","01-2004",2004-01-03 07:33:20,-6.459134,-3.6495533,-3.6066751,7.622961,298.23743,0.08274841,0.0010248448,-0.07928896,-0.043420136,49.26117,298.62744,4.8046255,0.15835851,298.6235,101265.375,-0.041582193,2004-01-03 01:33:20,18600784,-0.0032049902,10.269722,0.12496948,0.00017210029,-3.7096543e-05,0,3.5651356e-06,-4046.4844,0,0,0,-237096,0.00030841632,3.70659194860365,161.464210950781,NA,NA,NA,0.118020560551007,0.153205854198317,4.13123082826761,0.277580218428916,2.50906444601023,8.00411701033112,0.00240923906668197,2409.23906668197,2108.93200410472,419.908707751001,8.0098156553528,2105.36581704998,419.844825519508,36.8699736129049,36.8957357038828,23.0625699311753,25.3249134378542,NA,NA,164.477368886539,16.1196822811001,12.1285611001844,160.512653859502,15.731124204785,NA,NA,NA,NA,0.761858644640551,0.559102614812975,0.515573949090119,NA,NA,NA
"27","01-2005",2005-01-03 07:33:20,-5.5861998,-3.5914268,-3.526558,6.9170866,298.52844,0.048648834,0.0009662695,-0.06532723,-0.038211167,49.261284,299.06677,5.3091307,0.21359736,299.068,101155.94,-0.040186547,2005-01-03 01:33:20,18301920,-0.0029569864,9.317304,0.21392822,0.00048604736,-3.4224722e-05,0,1.1117957e-05,-3491.0625,0,0,0,-329575,0.000961117,3.66350069220978,159.570939730494,NA,NA,NA,0.136947946209073,0.129205321664889,4.66815954703075,0.290360377441404,1.68519199238265,NA,0.00241398290946769,2413.98290946769,NA,NA,NA,NA,NA,36.8700279007079,36.842261844163,22.6111024625444,25.4321247516899,NA,NA,109.229649948589,13.9028419326849,7.88738761940841,106.59669479125,13.5677255617419,5.02460593162583,0.228468490603039,NA,NA,0.859150460740152,0.352183549518042,0.39185638717952,NA,NA,NA
"28","01-2006",2006-01-03 07:33:20,-6.149831,-3.3817215,-3.365221,7.2031574,298.0089,0.04984951,0.0009851253,-0.07036477,-0.03703332,49.261406,298.15222,5.0433073,0.19726181,298.14554,101166.44,-0.037866037,2006-01-03 01:33:20,18382048,-0.0022406504,9.575987,0.17919922,0.0002832394,-2.5934161e-05,0,6.4842407e-06,-3377.1562,0,0,0,-37495,0.0005605186,3.42401383738994,149.125132904171,NA,NA,NA,0.739692045703518,0.239380389727542,5.08659737146465,0.329345547145235,5.12810766683865,7.9661234729417,NA,NA,NA,NA,7.97712928626883,NA,NA,36.8028239640095,36.7959071222907,22.2802085396167,25.4976829036406,NA,NA,66.9652313461706,11.6864996340608,6.01312759696752,65.3509774128994,11.404801161501,4.63036884037143,0.0694129234010099,67.0985767775228,NA,0.926300898057362,0.333930751723469,0.414567897353764,NA,NA,NA
"29","01-2007",2007-01-03 07:33:20,-6.514186,-3.493741,-3.5203285,7.62834,298.00183,0.07332516,0.0010133621,-0.08027953,-0.0418036,49.261013,297.7058,4.838724,0.11649841,297.6916,101269.44,-0.039286055,2007-01-03 01:33:20,18565264,-0.001860155,10.007287,0.09664917,7.001827e-05,-2.153129e-05,0,1.1597181e-06,-3786.5703,0,0,0,413207,9.9965706e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","01-2008",2008-01-03 07:33:20,-6.584508,-3.4807482,-3.4437857,7.647397,297.9828,0.08260155,0.001019143,-0.08283621,-0.041612864,49.260582,298.34412,4.7385025,0.13359135,298.32703,101233.69,-0.03907972,2008-01-03 01:33:20,18577024,-0.00312097,10.217588,0.11784363,0.0001825161,-3.6121462e-05,0,4.0880004e-06,-3818.0664,0,0,0,-198983,0.00035441038,3.40043516633641,148.140899840025,NA,NA,NA,0.398467670762054,0.198908542949479,5.27445883976313,0.355310440667272,2.61299323117392,7.96356974932086,0.00239609347126509,2396.09347126509,2121.40926394169,474.396446631305,7.97400564685615,2115.37029360953,460.905496753248,36.7519155037076,36.7440226633333,23.0107620308834,25.2410566195672,NA,NA,81.3176778621424,10.8165150785617,11.8784114730527,79.3576939337679,10.5557923822236,NA,NA,135.899365561296,84.0676072736469,0.58046302806145,0.258706487247181,0.355737112768925,1.35713007116642,4.42793768239402,0.368981712589114
"31","01-2009",2009-01-03 07:33:20,-6.3869133,-3.4008474,-3.3676596,7.4274473,298.23962,0.065568924,0.0010035133,-0.07968843,-0.039872825,49.261364,298.5199,4.7989063,0.13701838,298.49426,101259.69,-0.03742383,2009-01-03 01:33:20,18463280,-0.0026673847,9.805738,0.13919067,0.00014212752,-3.08733e-05,0,3.854163e-06,-3619.7656,0,0,0,-173696,0.00033288426,3.26026528992419,142.024348234088,NA,NA,NA,0.197633180039204,0.221788424408299,5.29188987803485,0.336751043496823,3.47512767472821,7.95480498227976,0.00239855703818541,2398.55703818541,2136.98596751406,528.089423867523,7.96664223810893,2129.92353968347,511.98655554979,36.7843148466182,36.780582131237,22.8184931481116,25.3240767815953,34.0964478572875,8.77423241557493,111.258064824322,16.8758150751434,9.02489719641514,108.576317154574,16.4690204928353,NA,NA,65.8487945534533,NA,NA,0.719674819464457,0.587691357876936,NA,NA,NA
"32","01-2010",2010-01-03 07:33:20,-6.5715322,-3.4577198,-3.453762,7.708987,298.17493,0.09117508,0.0010097178,-0.08619875,-0.042624712,49.260696,298.0775,5.0407524,0.0827186,298.06403,101186.875,-0.03873009,2010-01-03 01:33:20,18887968,-0.0024963096,10.329247,0.07948303,9.7587006e-05,-2.8891649e-05,0,1.6077594e-06,-4008.5,0,0,0,290315,0.00013950783,3.62252389831048,157.798711320064,NA,NA,NA,0.191640308203502,0.208494681182702,3.93549462231297,0.238680654767647,3.97123310377817,7.98028579973129,0.00242017756738529,2420.17756738529,2133.54331336554,457.091359882802,7.99158412681738,2126.74930075101,442.823002128505,36.8684904697782,36.865540522941,23.0454634929833,25.3279095068472,30.0333158519721,9.80942634980428,71.3904391884447,10.8385654013652,8.48267372441938,69.6696262996311,10.5773263231416,NA,NA,62.8377098748737,NA,NA,0.255960680558529,0.313120448968412,1.81475160022,5.92089677968443,0.49340554097655
"33","01-2011",2011-01-03 07:33:20,-6.214463,-3.0919456,-3.0597935,7.1606693,298.38428,0.05731678,0.0009785607,-0.07279736,-0.03476596,49.26066,298.68457,5.0451517,0.14198893,298.66275,101124.5,-0.034489714,2011-01-03 01:33:20,18483760,-0.002882313,9.616026,0.10032654,0.000157374,-3.3361153e-05,0,2.7717442e-06,-3273.4648,0,0,0,-141320,0.0002393976,3.52915831105637,153.756805042036,NA,NA,NA,0.125748524822215,0.126560775572598,4.50188898500446,0.245445330912475,2.80863997885303,7.98305449847308,0.00240967475141117,2409.67475141117,2122.39116160332,461.49481381123,7.99499314043282,2115.27957253756,446.470132123981,36.8326691475581,36.8295248234975,23.5560791537506,25.1535135521169,25.2405691573317,3.46146442763105,NA,NA,NA,NA,NA,NA,NA,61.8361508360255,NA,NA,1.08360244421065,0.918179962291777,2.01028188564017,6.55886247101513,0.546569365860442
