"","taxon","taxon_group","group"
"43","Bacteriastrum_comosu","Bacteriastrum_comosu","DIATOMS"
"44","Bacteriastrum_delicatulu","Bacteriastrum_delicatulu","DIATOMS"
"45","Bacteriastrum_elongatu","Bacteriastrum_elongatu","DIATOMS"
"46","Bacteriastrum_hyalinu","Bacteriastrum_hyalinu","DIATOMS"
"47","Bacteriastrum_sp.","Bacteriastrum_sp.","DIATOMS"
"48","Bacteriosira_sp.","Bacteriosira_sp.","DIATOMS"
"49","Balechiana_coerulea","Balechiana_coerulea","DINOFLAGELLATES"
"50","Bellerochea_malleus","Bellerochea_malleus","DIATOMS"
"51","Bellerochea_sp.","Bellerochea_sp.","DIATOMS"
"52","Bellorochea_sp.","Bellorochea_sp.","DIATOMS"
"53","Biddulphia_cf._alternans","Biddulphia_cf._alternans","DIATOMS"
"54","Biddulphia_cf_alternans","Biddulphia_cf_alternans","DIATOMS"
"55","Bleakleya_notata","Bleakleya_notata","DIATOMS"
"56","Blepharocysta_splendor","Blepharocysta_splendor","DINOFLAGELLATES"
"57","Blepharocysta_splendor-maris","Blepharocysta_splendor-maris","DINOFLAGELLATES"
"58","Blepharocysta_splendormaris","Blepharocysta_splendormaris","DINOFLAGELLATES"
"59","Blepharocysta_splendors","Blepharocysta_splendors","DINOFLAGELLATES"
"60","Braarudosphaera_bigelowi","Braarudosphaera_bigelowi","COCCOLITHOPHORIDS"
"61","Brachidinium_capitatu","Brachidinium_capitatu","DINOFLAGELLATES"
"62","Brachidinium_sp.","Brachidinium_sp.","DINOFLAGELLATES"
"63","Brachiomonas","Brachiomonas","OTHERS"
"64","Brachiomonas_sp.","Brachiomonas_sp.","OTHERS"
"65","COCCOLITHOFORIDS_SPECIES","COCCOLITHOFORIDS_SPECIES","TOTAL"
"66","COCCOLITHOFORID_SPECIES","COCCOLITHOFORID_SPECIES","TOTAL"
"67","COCCOLITHOPHORIDS_ABUNDANCE","COCCOLITHOPHORIDS_ABUNDANCE","TOTAL"
"68","COCCOLITHOPHORIDS_SUBTOTAL","COCCOLITHOPHORIDS_SUBTOTAL","COCCOLITHOPHORIDS"
"69","COCCOLITHOPHORID_ABUNDANCE","COCCOLITHOPHORID_ABUNDANCE","TOTAL"
"70","COCCOLITHOPHORID_SPECIES","COCCOLITHOPHORID_SPECIES","TOTAL"
"71","CYANOBACTERIABUNDANCE","CYANOBACTERIABUNDANCE","TOTAL"
"72","CYANOBACTERISPECIES","CYANOBACTERISPECIES","TOTAL"
"73","Calcidiscus_leptoporus","Calcidiscus_leptoporus","COCCOLITHOPHORIDS"
"74","Calcidiscus_sp.","Calcidiscus_sp.","COCCOLITHOPHORIDS"
"75","Calciopapus_caudatus","Calciopapus_caudatus","COCCOLITHOPHORIDS"
"76","Calciosolenia_murrayii","Calciosolenia_murrayii","COCCOLITHOPHORIDS"
"77","Calypthorsphaera_sp.","Calypthorsphaera_sp.","COCCOLITHOPHORIDS"
"78","Calypthrolithina_pailifera","Calypthrolithina_pailifera","COCCOLITHOPHORIDS"
"79","Calyptrolithina","Calyptrolithina","COCCOLITHOPHORIDS"
"80","Calyptrolithophora_sp","Calyptrolithophora_sp","COCCOLITHOPHORIDS"
"81","Calyptrolithophora_sp.","Calyptrolithophora_sp.","COCCOLITHOPHORIDS"
"82","Calyptrolitthophora_sp.","Calyptrolitthophora_sp.","COCCOLITHOPHORIDS"
"83","Calyptrophora_sp.","Calyptrophora_sp.","COCCOLITHOPHORIDS"
"84","Calyptrosphaera_sphaerodidea","Calyptrosphaera_sphaerodidea","COCCOLITHOPHORIDS"
"85","Campilodiscus_sp.","Campilodiscus_sp.","DIATOMS"
"86","Campylosira_cymbeliformis","Campylosira_cymbeliformis","DIATOMS"
"87","Centric_diato","Centric_diato","DIATOMS"
"88","Centric_diatom_in_pairs","Centric_diatom_in_pairs","DIATOMS"
"89","Centric_diatomea","Centric_diatomea","DIATOMS"
"90","Centrodinium_maximu","Centrodinium_maximu","DINOFLAGELLATES"
"91","Centrodinium_sp.","Centrodinium_sp.","DINOFLAGELLATES"
"92","Cerataulina_bergonii","Cerataulina_bergonii","DIATOMS"
"93","Cerataulina_pelagica","Cerataulina_pelagica","DIATOMS"
"94","Cerataulus_pelagica","Cerataulus_pelagica","DIATOMS"
"95","Cerataulus_pelagicus","Cerataulus_pelagicus","DIATOMS"
"96","Cerataulus_sp.","Cerataulus_sp.","DIATOMS"
"97","Ceratholithus_cristatus","Ceratholithus_cristatus","COCCOLITHOPHORIDS"
"98","Ceratium_azoricu","Ceratium_azoricu","DINOFLAGELLATES"
"99","Ceratium_belone","Ceratium_belone","DINOFLAGELLATES"
"100","Ceratium_breve","Ceratium_breve","DINOFLAGELLATES"
"101","Ceratium_bucephalu","Ceratium_bucephalu","DINOFLAGELLATES"
"102","Ceratium_bucephalus","Ceratium_bucephalus","DINOFLAGELLATES"
"103","Ceratium_candelabru","Ceratium_candelabru","DINOFLAGELLATES"
"104","Ceratium_carriense","Ceratium_carriense","DINOFLAGELLATES"
"105","Ceratium_cf._Septatu","Ceratium_cf._Septatu","DINOFLAGELLATES"
"106","Ceratium_cf._septatu","Ceratium_cf._septatu","DINOFLAGELLATES"
"107","Ceratium_cf_septatu","Ceratium_cf_septatu","DINOFLAGELLATES"
"108","Ceratium_contortu","Ceratium_contortu","DINOFLAGELLATES"
"109","Ceratium_dens","Ceratium_dens","DINOFLAGELLATES"
"110","Ceratium_extensu","Ceratium_extensu","DINOFLAGELLATES"
"111","Ceratium_falcatiforme","Ceratium_falcatiforme","DINOFLAGELLATES"
"112","Ceratium_falcatu","Ceratium_falcatu","DINOFLAGELLATES"
"113","Ceratium_furca","Ceratium_furca","DINOFLAGELLATES"
"114","Ceratium_fusus","Ceratium_fusus","DINOFLAGELLATES"
"115","Ceratium_gibberu","Ceratium_gibberu","DINOFLAGELLATES"
"116","Ceratium_giberu","Ceratium_giberu","DINOFLAGELLATES"
"117","Ceratium_horridu","Ceratium_horridu","DINOFLAGELLATES"
"118","Ceratium_humile","Ceratium_humile","DINOFLAGELLATES"
"119","Ceratium_karsteini","Ceratium_karsteini","DINOFLAGELLATES"
"120","Ceratium_kofoidii","Ceratium_kofoidii","DINOFLAGELLATES"
"121","Ceratium_lineatu","Ceratium_lineatu","DINOFLAGELLATES"
"122","Ceratium_longinu","Ceratium_longinu","DINOFLAGELLATES"
"123","Ceratium_longipes","Ceratium_longipes","DINOFLAGELLATES"
"124","Ceratium_macroceros","Ceratium_macroceros","DINOFLAGELLATES"
"125","Ceratium_massiliense","Ceratium_massiliense","DINOFLAGELLATES"
"126","Ceratium_minutu","Ceratium_minutu","DINOFLAGELLATES"
"127","Ceratium_pentagonu","Ceratium_pentagonu","DINOFLAGELLATES"
"128","Ceratium_praelongu","Ceratium_praelongu","DINOFLAGELLATES"
"129","Ceratium_ranipes","Ceratium_ranipes","DINOFLAGELLATES"
"130","Ceratium_symmeticu","Ceratium_symmeticu","DINOFLAGELLATES"
"131","Ceratium_symmetricu","Ceratium_symmetricu","DINOFLAGELLATES"
"132","Ceratium_teres","Ceratium_teres","DINOFLAGELLATES"
"133","Ceratium_trichoceros","Ceratium_trichoceros","DINOFLAGELLATES"
"134","Ceratium_tripos","Ceratium_tripos","DINOFLAGELLATES"
"135","Ceratium_vultur","Ceratium_vultur","DINOFLAGELLATES"
"136","Ceratocorys_horrida","Ceratocorys_horrida","DINOFLAGELLATES"
"137","Cerratium_vultur","Cerratium_vultur","DINOFLAGELLATES"
"138","Chaeto_crossed_setae","Chaeto_crossed_setae","DIATOMS"
"139","Chaeto_setas_cruzadas","Chaeto_setas_cruzadas","DIATOMS"
"140","Chaetoceros_affinis","Chaetoceros_affinis","DIATOMS"
"141","Chaetoceros_anastomosans","Chaetoceros_anastomosans","DIATOMS"
"142","Chaetoceros_anatomosans","Chaetoceros_anatomosans","DIATOMS"
"143","Chaetoceros_atlanticus","Chaetoceros_atlanticus","DIATOMS"
"144","Chaetoceros_breve","Chaetoceros_breve","DIATOMS"
"145","Chaetoceros_c._holsaticus","Chaetoceros_c._holsaticus","DIATOMS"
"146","Chaetoceros_castracanei","Chaetoceros_castracanei","DIATOMS"
"147","Chaetoceros_cf._holsaticus","Chaetoceros_cf._holsaticus","DIATOMS"
"148","Chaetoceros_cf._neglectus","Chaetoceros_cf._neglectus","DIATOMS"
"149","Chaetoceros_cf.neglectus","Chaetoceros_cf.neglectus","DIATOMS"
"150","Chaetoceros_cf_holsaticus","Chaetoceros_cf_holsaticus","DIATOMS"
"151","Chaetoceros_coarctatus","Chaetoceros_coarctatus","DIATOMS"
"152","Chaetoceros_compress","Chaetoceros_compress","DIATOMS"
"153","Chaetoceros_compressu","Chaetoceros_compressu","DIATOMS"
"154","Chaetoceros_compressus","Chaetoceros_compressus","DIATOMS"
"155","Chaetoceros_concavicor","Chaetoceros_concavicor","DIATOMS"
"156","Chaetoceros_concavicoris","Chaetoceros_concavicoris","DIATOMS"
"157","Chaetoceros_concavicornis","Chaetoceros_concavicornis","DIATOMS"
"158","Chaetoceros_constrictu","Chaetoceros_constrictu","DIATOMS"
"159","Chaetoceros_convolutus","Chaetoceros_convolutus","DIATOMS"
"160","Chaetoceros_costatus","Chaetoceros_costatus","DIATOMS"
"161","Chaetoceros_crossed_setae","Chaetoceros_crossed_setae","DIATOMS"
"162","Chaetoceros_curvisetus","Chaetoceros_curvisetus","DIATOMS"
"163","Chaetoceros_danicu","Chaetoceros_danicu","DIATOMS"
"164","Chaetoceros_debilis","Chaetoceros_debilis","DIATOMS"
"165","Chaetoceros_decipiens","Chaetoceros_decipiens","DIATOMS"
"166","Chaetoceros_diadema","Chaetoceros_diadema","DIATOMS"
"167","Chaetoceros_dichaeta","Chaetoceros_dichaeta","DIATOMS"
"168","Chaetoceros_dydimus","Chaetoceros_dydimus","DIATOMS"
"169","Chaetoceros_falax","Chaetoceros_falax","DIATOMS"
"170","Chaetoceros_gigante","Chaetoceros_gigante","DIATOMS"
"171","Chaetoceros_gracilis","Chaetoceros_gracilis","DIATOMS"
"172","Chaetoceros_karianu","Chaetoceros_karianu","DIATOMS"
"173","Chaetoceros_karianus","Chaetoceros_karianus","DIATOMS"
"174","Chaetoceros_laciniosus","Chaetoceros_laciniosus","DIATOMS"
"175","Chaetoceros_lacionosus","Chaetoceros_lacionosus","DIATOMS"
"176","Chaetoceros_laevis","Chaetoceros_laevis","DIATOMS"
"177","Chaetoceros_large","Chaetoceros_large","DIATOMS"
"178","Chaetoceros_lauckii","Chaetoceros_lauckii","DIATOMS"
"179","Chaetoceros_lauderi","Chaetoceros_lauderi","DIATOMS"
"180","Chaetoceros_lorenzianus","Chaetoceros_lorenzianus","DIATOMS"
"181","Chaetoceros_messanensis","Chaetoceros_messanensis","DIATOMS"
"182","Chaetoceros_pelagicus","Chaetoceros_pelagicus","DIATOMS"
"183","Chaetoceros_pendulus","Chaetoceros_pendulus","DIATOMS"
"184","Chaetoceros_pseudocur","Chaetoceros_pseudocur","DIATOMS"
"185","Chaetoceros_pseudocurvisetus","Chaetoceros_pseudocurvisetus","DIATOMS"
"186","Chaetoceros_radicans","Chaetoceros_radicans","DIATOMS"
"187","Chaetoceros_socialis","Chaetoceros_socialis","DIATOMS"
"188","Chaetoceros_sp","Chaetoceros_sp","DIATOMS"
"189","Chaetoceros_sp.","Chaetoceros_sp.","DIATOMS"
"190","Chaetoceros_sp._2","Chaetoceros_sp._2","DIATOMS"
"191","Chaetoceros_sp._3","Chaetoceros_sp._3","DIATOMS"
"192","Chaetoceros_sp._Z","Chaetoceros_sp._Z","DIATOMS"
"193","Chaetoceros_sp._crossed_seta","Chaetoceros_sp._crossed_seta","DIATOMS"
"194","Chaetoceros_sp._crossed_setae","Chaetoceros_sp._crossed_setae","DIATOMS"
"195","Chaetoceros_sp._large","Chaetoceros_sp._large","DIATOMS"
"196","Chaetoceros_sp2","Chaetoceros_sp2","DIATOMS"
"197","Chaetoceros_sp3","Chaetoceros_sp3","DIATOMS"
"198","Chaetoceros_spZ","Chaetoceros_spZ","DIATOMS"
"199","Chaetoceros_subsecundus","Chaetoceros_subsecundus","DIATOMS"
"200","Chaetoceros_subtilis","Chaetoceros_subtilis","DIATOMS"
"201","Chaetoceros_tenuissimus","Chaetoceros_tenuissimus","DIATOMS"
"202","Chaetoceros_teres","Chaetoceros_teres","DIATOMS"
"203","Chaetoceros_tetrastichon","Chaetoceros_tetrastichon","DIATOMS"
"204","Chaetoceros_tortissima","Chaetoceros_tortissima","DIATOMS"
"205","Chaetoeros_sp._Z","Chaetoeros_sp._Z","DIATOMS"
"206","Chaetoros_crossed_setae","Chaetoros_crossed_setae","DIATOMS"
"207","Chaetoros_sp._crossed_setae","Chaetoros_sp._crossed_setae","DIATOMS"
"208","Chain_diato","Chain_diato","DIATOMS"
"209","Chained_diato","Chained_diato","DIATOMS"
"210","Chatonella_sp.","Chatonella_sp.","OTHERS"
"211","Chlorophyte","Chlorophyte","OTHERS"
"212","Chrysochomulina_sp.","Chrysochomulina_sp.","OTHERS"
"213","Chrysochromulina_sp.","Chrysochromulina_sp.","OTHERS"
"214","Cianobacteria_colonial","Cianobacteria_colonial","CYANOBACTERIA"
"215","Cianobacteria_filamentos","Cianobacteria_filamentos","CYANOBACTERIA"
"216","Cianobacteria_filamentosa","Cianobacteria_filamentosa","CYANOBACTERIA"
"217","Cladopyxis_sp.","Cladopyxis_sp.","DINOFLAGELLATES"
"218","Climacodium_frauenfeldia","Climacodium_frauenfeldia","DIATOMS"
"219","Climacodium_frauenfeldianu","Climacodium_frauenfeldianu","DIATOMS"
"220","Climacodium_sp.","Climacodium_sp.","DIATOMS"
"221","Coccoid_cyanobacteria","Coccoid_cyanobacteria","CYANOBACTERIA"
"222","Coccolithophorid","Coccolithophorid","COCCOLITHOPHORIDS"
"223","Coccolithus_hulburtianus","Coccolithus_hulburtianus","COCCOLITHOPHORIDS"
"224","Cocconeis_sp.","Cocconeis_sp.","DIATOMS"
"225","Cochlodinium_faurez","Cochlodinium_faurez","DINOFLAGELLATES"
"226","Cochlodinium_polykrikoides","Cochlodinium_polykrikoides","DINOFLAGELLATES"
"227","Cochlodinium_polykrikoios","Cochlodinium_polykrikoios","DINOFLAGELLATES"
"228","Cochlodinium_sp.","Cochlodinium_sp.","DINOFLAGELLATES"
"229","Cochlodinium_strangulatu","Cochlodinium_strangulatu","DINOFLAGELLATES"
"230","Cochlodinium_virescens","Cochlodinium_virescens","DINOFLAGELLATES"
"231","Cocolithophorid","Cocolithophorid","COCCOLITHOPHORIDS"
"232","Colonia_palmeloide","Colonia_palmeloide","OTHERS"
"233","Colonial_Cyanobacteria","Colonial_Cyanobacteria","CYANOBACTERIA"
"234","Colonial_cianobacteria","Colonial_cianobacteria","CYANOBACTERIA"
"235","Colonial_cyanobacteria","Colonial_cyanobacteria","CYANOBACTERIA"
"236","Colonial_cyanobacteria_colonial","Colonial_cyanobacteria_colonial","CYANOBACTERIA"
"237","Colonial_cyanobacteriu","Colonial_cyanobacteriu","CYANOBACTERIA"
"238","Congritidium_sp.","Congritidium_sp.","DINOFLAGELLATES"
"239","Corethron_histryx","Corethron_histryx","DIATOMS"
"240","Coscinodiscus_centralis","Coscinodiscus_centralis","DIATOMS"
"241","Coscinodiscus_excentricus","Coscinodiscus_excentricus","DIATOMS"
"242","Coscinodiscus_granii","Coscinodiscus_granii","DIATOMS"
"243","Coscinodiscus_nitidus","Coscinodiscus_nitidus","DIATOMS"
"244","Coscinodiscus_perforatu","Coscinodiscus_perforatu","DIATOMS"
"245","Coscinodiscus_perforatus","Coscinodiscus_perforatus","DIATOMS"
"246","Coscinodiscus_sp.","Coscinodiscus_sp.","DIATOMS"
"247","Coscinodiscus_wailessii","Coscinodiscus_wailessii","DIATOMS"
"248","Coscinoscira_polychorda","Coscinoscira_polychorda","DIATOMS"
"249","Coscinoscira_sp.","Coscinoscira_sp.","DIATOMS"
"250","Coscinosira_sp.","Coscinosira_sp.","DIATOMS"
"251","Cyclolithella_ferrazaae","Cyclolithella_ferrazaae","COCCOLITHOPHORIDS"
"252","Cyclolithella_ferrazae","Cyclolithella_ferrazae","COCCOLITHOPHORIDS"
"253","Cyclolithella_sp.","Cyclolithella_sp.","COCCOLITHOPHORIDS"
"254","Cyclotella_sp.","Cyclotella_sp.","DIATOMS"
"255","Cyclotella_striata","Cyclotella_striata","DIATOMS"
"256","Cylindrodrotheca_closteriu","Cylindrodrotheca_closteriu","DIATOMS"
"257","Cylindroteca_closteriu","Cylindroteca_closteriu","DIATOMS"
"258","Cylindrotheca_closteriu","Cylindrotheca_closteriu","DIATOMS"
"259","DIATOM_ABUNDANCE","DIATOM_ABUNDANCE","TOTAL"
"260","DIATOM_SPECIES","DIATOM_SPECIES","TOTAL"
"261","DINOFLAGELLATES_ABUNDANCE","DINOFLAGELLATES_ABUNDANCE","TOTAL"
"262","DINOFLAGELLATES_SPECIES","DINOFLAGELLATES_SPECIES","TOTAL"
"263","DINOFLAGELLATE_ABUNDANCE","DINOFLAGELLATE_ABUNDANCE","TOTAL"
"264","DINOFLAGELLATE_SPECIES","DINOFLAGELLATE_SPECIES","TOTAL"
"265","Dactyliosolen_fragiliosimus","Dactyliosolen_fragiliosimus","DIATOMS"
"266","Dactyliosolen_fragilisimu","Dactyliosolen_fragilisimu","DIATOMS"
"267","Dactyliosolen_fragilissimus","Dactyliosolen_fragilissimus","DIATOMS"
"268","Dactyliosolen_mediterran","Dactyliosolen_mediterran","DIATOMS"
"269","Dactyliosolen_mediterranea","Dactyliosolen_mediterranea","DIATOMS"
"270","Dactyliosolen_mediterraneu","Dactyliosolen_mediterraneu","DIATOMS"
"271","Dactyliosolen_mediterraneus","Dactyliosolen_mediterraneus","DIATOMS"
"272","Dactyliosolen_sp.","Dactyliosolen_sp.","DIATOMS"
"273","Detonula_pumila","Detonula_pumila","DIATOMS"
"274","Diato_centrica_pequena","Diato_centrica_pequena","DIATOMS"
"275","Diatom_X","Diatom_X","DIATOMS"
"276","Diatom_in_chains","Diatom_in_chains","DIATOMS"
"277","Diatomea_X","Diatomea_X","DIATOMS"
"278","Diatomea_centrica","Diatomea_centrica","DIATOMS"
"279","Diatomea_en_cadena","Diatomea_en_cadena","DIATOMS"
"280","Dicosphaera_tubifer","Dicosphaera_tubifer","COCCOLITHOPHORIDS"
"281","Dictyoca_fibula","Dictyoca_fibula","OTHERS"
"282","Dictyoca_speculu","Dictyoca_speculu","OTHERS"
"283","Dimmerogramma_fulvu","Dimmerogramma_fulvu","DIATOMS"
"284","Dinoflagelado_a","Dinoflagelado_a","DINOFLAGELLATES"
"285","Dinoflagelado_descadena","Dinoflagelado_descadena","DINOFLAGELLATES"
"286","Dinoflagelado_desnudo2","Dinoflagelado_desnudo2","DINOFLAGELLATES"
"287","Dinoflagelado_desnudo_2","Dinoflagelado_desnudo_2","DINOFLAGELLATES"
"288","Dinoflagellate","Dinoflagellate","DINOFLAGELLATES"
"289","Dinoflagellate_a","Dinoflagellate_a","DINOFLAGELLATES"
"290","Dinophisis_fibula","Dinophisis_fibula","DINOFLAGELLATES"
"291","Dinophisys_ovu","Dinophisys_ovu","DINOFLAGELLATES"
"292","Dinophisys_sp","Dinophisys_sp","DINOFLAGELLATES"
"293","Dinophyis_fibula","Dinophyis_fibula","DINOFLAGELLATES"
"294","Dinophysis_acuminata","Dinophysis_acuminata","DINOFLAGELLATES"
"295","Dinophysis_caudata","Dinophysis_caudata","DINOFLAGELLATES"
"296","Dinophysis_cf._sacculus","Dinophysis_cf._sacculus","DINOFLAGELLATES"
"297","Dinophysis_cf_sacculus","Dinophysis_cf_sacculus","DINOFLAGELLATES"
"298","Dinophysis_exhigua","Dinophysis_exhigua","DINOFLAGELLATES"
"299","Dinophysis_exigua","Dinophysis_exigua","DINOFLAGELLATES"
"300","Dinophysis_fibula","Dinophysis_fibula","DINOFLAGELLATES"
"301","Dinophysis_hastata","Dinophysis_hastata","DINOFLAGELLATES"
"302","Dinophysis_okamurai","Dinophysis_okamurai","DINOFLAGELLATES"
"303","Dinophysis_ovu","Dinophysis_ovu","DINOFLAGELLATES"
"304","Dinophysis_sp","Dinophysis_sp","DINOFLAGELLATES"
"305","Dinophysis_sp.","Dinophysis_sp.","DINOFLAGELLATES"
"306","Dinophysis_sp.2","Dinophysis_sp.2","DINOFLAGELLATES"
"307","Dinophysis_sp._2","Dinophysis_sp._2","DINOFLAGELLATES"
"308","Dinopyhsis_fibula","Dinopyhsis_fibula","DINOFLAGELLATES"
"309","Diploneis_bombus","Diploneis_bombus","DIATOMS"
"310","Diploneis_cabro","Diploneis_cabro","DIATOMS"
"311","Diploneis_sp","Diploneis_sp","DIATOMS"
"312","Diploneis_sp.","Diploneis_sp.","DIATOMS"
"313","Diplopsalis_lenticula","Diplopsalis_lenticula","DINOFLAGELLATES"
"314","Diplopsalis_rotunda","Diplopsalis_rotunda","DINOFLAGELLATES"
"315","Diplopsallis_lenticula","Diplopsallis_lenticula","DINOFLAGELLATES"
"316","Disodinium_gerbautii","Disodinium_gerbautii","DINOFLAGELLATES"
"317","Dunaliella_sp.","Dunaliella_sp.","OTHERS"
"318","Dytilum_brightwelli","Dytilum_brightwelli","DIATOMS"
"319","Ebria_tripartita","Ebria_tripartita","OTHERS"
"320","Emiliania-Gephyrocapsa","Emiliania-Gephyrocapsa","COCCOLITHOPHORIDS"
"321","Emiliania_huxleyi","Emiliania_huxleyi","COCCOLITHOPHORIDS"
"322","Emiliania_huxluyii","Emiliania_huxluyii","COCCOLITHOPHORIDS"
"323","Entomoneis_alata","Entomoneis_alata","DIATOMS"
"324","Entomoneis_alata_)","Entomoneis_alata_)","DIATOMS"
"325","Entomoneis_alata_Amphi","Entomoneis_alata_Amphi","DIATOMS"
"326","Erythropsidinium_sp.","Erythropsidinium_sp.","DINOFLAGELLATES"
"327","Estrelladiniu","Estrelladiniu","DINOFLAGELLATES"
"328","Estrelladinium_SP.","Estrelladinium_SP.","DINOFLAGELLATES"
"329","Estrelladinium_sp.","Estrelladinium_sp.","DINOFLAGELLATES"
"330","Estrelladiniumsp.","Estrelladiniumsp.","DINOFLAGELLATES"
"331","Eucampia_cornuta","Eucampia_cornuta","DIATOMS"
"332","Eucampia_groelandica","Eucampia_groelandica","DIATOMS"
"333","Eucampia_groenlandica","Eucampia_groenlandica","DIATOMS"
"334","Eucampia_sp.","Eucampia_sp.","DIATOMS"
"335","Eucampia_zodiacus","Eucampia_zodiacus","DIATOMS"
"336","Euglenofita","Euglenofita","OTHERS"
"337","Euglenophyte","Euglenophyte","OTHERS"
"338","Eunotia","Eunotia","DIATOMS"
"339","Eunotia_sp.","Eunotia_sp.","DIATOMS"
"340","Eutreptia_sp","Eutreptia_sp","OTHERS"
"341","Eutreptia_sp.","Eutreptia_sp.","OTHERS"
"342","Eutreptiella_gymnastica","Eutreptiella_gymnastica","OTHERS"
"343","Eutreptiella_sp","Eutreptiella_sp","OTHERS"
"344","Eutreptiella_sp.","Eutreptiella_sp.","OTHERS"
"345","Filamentous_Cyanobacteria","Filamentous_Cyanobacteria","CYANOBACTERIA"
"346","Filamentous_cyanobacteria","Filamentous_cyanobacteria","CYANOBACTERIA"
"347","Filamentous_cyanobacteriu","Filamentous_cyanobacteriu","CYANOBACTERIA"
"348","Flagelados","Flagelados","OTHERS"
"349","Flagellates","Flagellates","OTHERS"
"350","Fragilariopsis_sp.","Fragilariopsis_sp.","DIATOMS"
"351","Fragilidium_sp.","Fragilidium_sp.","DINOFLAGELLATES"
"352","Fragillaria_sp.","Fragillaria_sp.","DIATOMS"
"353","Fragillariopsis_cf._Oceanicu","Fragillariopsis_cf._Oceanicu","DIATOMS"
"354","Fragillariopsis_cf._oceanica","Fragillariopsis_cf._oceanica","DIATOMS"
"355","Fragillariopsis_cf._oceanicu","Fragillariopsis_cf._oceanicu","DIATOMS"
"356","Fragillariopsis_cf_oceanica","Fragillariopsis_cf_oceanica","DIATOMS"
"357","Fragillariopsis_cf_oceanicu","Fragillariopsis_cf_oceanicu","DIATOMS"
"358","Fragillariopsis_sp.","Fragillariopsis_sp.","DIATOMS"
"359","Girodinium_acuminatu","Girodinium_acuminatu","DINOFLAGELLATES"
"360","Glenodinium_sp.","Glenodinium_sp.","DINOFLAGELLATES"
"361","Gloeotrichia_echinulata","Gloeotrichia_echinulata","CYANOBACTERIA"
"362","Gomyalax_fragilis","Gomyalax_fragilis","DINOFLAGELLATES"
"363","Goniodoma_acuminatus","Goniodoma_acuminatus","DINOFLAGELLATES"
